gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_1	1	ORF1::1
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_1	2	ORF1::2
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_1	3	ORF1::3
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1972	EHV-1_2h_1	RK-13_2h	0.0101419878296146	0.0119807319644679	0.00221877808655497	0.185195536728086	0.00183874413485326	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1523	EHV-1_2h_2	RK-13_2h	0.0144451739986868	0.0119807319644679	0.00221877808655497	0.185195536728086	0.00246444203421893	TRUE	2	cluster_1	2	ORF1::2
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1321	EHV-1_2h_3	RK-13_2h	0.0113550340651022	0.0119807319644679	0.00221877808655497	0.185195536728086	0.000625697899365672	FALSE	NA	cluster_1	3	ORF1::3
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	1840	EHV-1_4h_1	RK-13_4h	0.00869565217391304	0.00879369612049025	0.0009240919861475	0.105085731128947	9.80439465772046e-05	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	2272	EHV-1_4h_2	RK-13_4h	0.00792253521126761	0.00879369612049025	0.0009240919861475	0.105085731128947	0.000871160909222643	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	2868	EHV-1_4h_3	RK-13_4h	0.0097629009762901	0.00879369612049025	0.0009240919861475	0.105085731128947	0.000969204855799849	TRUE	3	cluster_1	3	ORF1::3
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	12998	EHV-1_6h_1	RK-13_6h	0.00438529004462225	0.00452511946138409	0.000362620641376094	0.0801350427255196	0.000139829416761839	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	12226	EHV-1_6h_2	RK-13_6h	0.00425323081956486	0.00452511946138409	0.000362620641376094	0.0801350427255196	0.000271888641819226	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	13774	EHV-1_6h_3	RK-13_6h	0.00493683751996515	0.00452511946138409	0.000362620641376094	0.0801350427255196	0.000411718058581064	TRUE	3	cluster_1	3	ORF1::3
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	13636	EHV-1_8h_1	RK-13_8h	0.00608682898210619	0.00586040686110523	0.000276628110833298	0.0472028849514261	0.000226422121000961	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	19521	EHV-1_8h_2	RK-13_8h	0.0059423185287639	0.00586040686110523	0.000276628110833298	0.0472028849514261	8.19116676586684e-05	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	22334	EHV-1_8h_3	RK-13_8h	0.0055520730724456	0.00586040686110523	0.000276628110833298	0.0472028849514261	0.000308333788659629	TRUE	3	cluster_1	3	ORF1::3
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	64872	EHV-1_12h_1	RK-13_12h	0.00376125292884449	0.00377517958205008	0.000237311171508748	0.0628608961112992	1.39266532055865e-05	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	44286	EHV-1_12h_2	RK-13_12h	0.00354513841846182	0.00377517958205008	0.000237311171508748	0.0628608961112992	0.000230041163588264	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	44288	EHV-1_12h_3	RK-13_12h	0.00401914739884393	0.00377517958205008	0.000237311171508748	0.0628608961112992	0.00024396781679385	TRUE	3	cluster_1	3	ORF1::3
