cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
cluster_1	0.0223990568818155	0.050902753714539	0.0719567507517936	0.0555360612037251	0.0348393517410097	0.0194464250181666	0.0105310737399082	0.00660348972611953	0.00768689764087259
cluster_10	0.00854700854700855	0.000526026841331721	0.00127358442808838	0.00465421010429238	0.010131189819739	0.0112187425092909	0.00830817474040705	0.00738238488276488	0.00749194948898719
cluster_11	0.519893899204244	0.0216790340078825	0.00952762092405632	0.00455193453070431	0.00495650385244774	0.00333886454382627	0.00167318738354539	0.00131749310264473	0.00139468234725047
cluster_12	0.0972590627763041	0.0578006398642592	0.0415212679117962	0.0215407883300333	0.0207902985376795	0.0195173023520021	0.00917361072485414	0.00553955583445003	0.00512213976026137
cluster_2	0	9.80595488896894e-05	0.000662319377470932	0.00441410256625325	0.00873562655905323	0.00725402083986839	0.00326470583574788	0.00241555693564776	0.0026397870422176
cluster_3	0.00106837606837607	0.00454597110938998	0.00792860230593155	0.0149039788151566	0.0140334809953273	0.00923693625434342	0.00553192194220158	0.00430975838005906	0.00424586549388064
cluster_4	0.0114942528735632	0.00688136364247921	0.00660674130780102	0.0067019615117596	0.00454829182046245	0.00246289906248181	0.00120976161848144	0.000984538261843715	0.00114611588327463
cluster_5	0.0185676392572944	0.0830575345586187	0.0576383837053309	0.0221358285150579	0.0105528530532668	0.00672767467745225	0.00555036223021929	0.00600386574985331	0.00691160372232298
cluster_6	0.00371352785145889	0.00266781459421574	0.00510178804895444	0.0160753520947033	0.0276535125061252	0.0327955576807278	0.0271556255477101	0.0278969980581165	0.026158906436527
cluster_7	0	0.0268188887052679	0.0176275678639418	0.0237772240530724	0.0223665079737844	0.0185374279726597	0.0129696178991974	0.0102487949963619	0.0102704240936646
cluster_8	0.00286303734579597	0.00549689643603927	0.00419438040779728	0.00750283260806657	0.0109857505408149	0.0294964424615064	0.0582400159747611	0.0652718279686379	0.067232744543041
cluster_9	0.00854700854700855	0.000351867802341532	0.000657731832026843	0.00396866203990903	0.00768866097716076	0.00827577398246971	0.0106278763667365	0.00687655177352232	0.00603628409586959
