gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF71, ORF72, ORF73	L	48h	48	RK-13	0.0171427786784186	0.000241773935634163	0.0141035441318821	cluster_4
ORF74, ORF75, ORF76, ORF67 _2	L	1h	1	RK-13	0.0371352785145889	0.0385300770459787	1.037559931881	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	2h	2	RK-13	0.0828783415958562	0.00166887906784051	0.020136492064218	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	4h	4	RK-13	0.153160578980851	0.00731742706561057	0.0477761778801153	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	6h	6	RK-13	0.121364348246813	0.00138718775958651	0.0114299444575392	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	8h	8	RK-13	0.0646631007167397	0.00192963446520664	0.0298413537831957	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	12h	12	RK-13	0.0341672905357635	0.0007713245285403	0.022574939845843	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	18h	18	RK-13	0.0205548343987702	0.000415553163051194	0.0202168090965528	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	24h	24	RK-13	0.0116896715956788	0.000395941369677371	0.0338710430345825	cluster_1
ORF74, ORF75, ORF76, ORF67 _2	L	48h	48	RK-13	0.014506964737312	0.000579715636319035	0.0399611942826334	cluster_1
NOIR_2	unknown	1h	1	RK-13	0	0		cluster_1
NOIR_2	unknown	2h	2	RK-13	0.00526203862150876	0.000881025425258169	0.167430436876109	cluster_1
NOIR_2	unknown	4h	4	RK-13	0.00164709778150616	0.000357527848579474	0.217065345235629	cluster_1
NOIR_2	unknown	6h	6	RK-13	0.00222014228630745	0.00013420721236136	0.0604498248554033	cluster_1
NOIR_2	unknown	8h	8	RK-13	0.00279580536045445	6.43823115829941e-05	0.0230281808932969	cluster_1
NOIR_2	unknown	12h	12	RK-13	0.00312150863404553	0.00014282013045119	0.0457535593185572	cluster_1
NOIR_2	unknown	18h	18	RK-13	0.00256270022400561	8.55924354339801e-05	0.0333993163274461	cluster_1
NOIR_2	unknown	24h	24	RK-13	0.00214570243790038	0.000112903090181526	0.0526182420205496	cluster_1
NOIR_2	unknown	48h	48	RK-13	0.00387387208057865	8.49826466708814e-06	0.00219373910400747	cluster_1
