gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2	EHV-1_48h_3
ORF1	unknown	cluster_1	0	0	0	0.010079575596817	0.011522633744856	0.00837209302325582	0.00967993754879001	0.0112849248968791	0.0116574093122129	0.00540744880181454	0.0061161089897094	0.00657065109179001	0.00529567519858782	0.0048958906622638	0.00473144360272955	0.00364680140225396	0.00388750096889403	0.00403855981186463	0.00245961354658896	0.00240279931850652	0.00267169050070231	0.00226542594438906	0.00238850072332174	0.00236501861426323	0.00278533737079484	0.00265063751592027	0.00244682853378506
ORF2	unknown	cluster_2	0	0	0	0.00017683465959328	0.000411522633744856	0	0.000624512099921936	0.00101175188730641	0.00116574093122129	0.00670589395483383	0.00660151446508317	0.00652087343200372	0.0130447140484988	0.0130136672170244	0.0131609288660762	0.0105718027747061	0.0101182348837625	0.010835644507509	0.00449481008174205	0.00415237338508202	0.0042930440182892	0.00312396144898637	0.00309643263873927	0.00314092377477861	0.00364989927640853	0.00407934993584893	0.00500915421864039
ORF3	L	cluster_3	0	0	0	0.00017683465959328	0.000411522633744856	0.000232558139534884	0.00187353629976581	0.00249046618413884	0.0020571898786258	0.011077873837152	0.0112775872111837	0.0111004181323422	0.0110700554998728	0.0115345808108604	0.0111539085652794	0.00777592169964473	0.00722049643148876	0.0072882608889793	0.00378299257437323	0.00368632963809029	0.00382205957744776	0.0034230641409106	0.00339191726430484	0.00317822690749569	0.00405023828688975	0.00409814878347957	0.00388412641377068
ORF4	unknown	cluster_4	0	0	0.0344827586206897	0.00548187444739169	0.00679012345679012	0.00837209302325582	0.00577673692427791	0.00622616546034711	0.00781732153877803	0.00747838664080734	0.00648825318749596	0.00613924470697551	0.00426346732089697	0.00473536965694368	0.0046460384835467	0.00239983060019293	0.00249825599074632	0.0024906105965062	0.00114291825126824	0.00116510936747931	0.00132125723669677	0.00109670987038883	0.000954169103388839	0.000902735811753471	0.00119249918015681	0.00109973258639245	0.00108225108225108
ORF7,  ORF6,  ORF5	E/L	cluster_5	0.0256410256410256	0.0256410256410256	0	0.0737400530503979	0.0771604938271605	0.0695348837209302	0.0577673692427791	0.0579033387812281	0.0582870465610643	0.0242266855132967	0.0253867063620478	0.02351164797239	0.0147800200457762	0.0145271509814713	0.0145786538445114	0.0120383659192684	0.0119665865714269	0.0123290185902747	0.0105469298274929	0.0108145069486359	0.0104491857804379	0.0130109670987039	0.0130013235248853	0.0124443250744197	0.00955277021818476	0.0101513777205457	0.0117422103588111
ORF8	L	cluster_6	0	0	0	0	0	0	0.000936768149882904	0.000933924819052066	0.00123431392717548	0.0033693829920121	0.00312277522490454	0.00340147341872967	0.00531063473304711	0.00518253531462117	0.00466311950738327	0.0061054513799026	0.00593857509972156	0.0055120883918693	0.00492256895940969	0.00440067538143007	0.00470984440841437	0.00465824747978287	0.00430915078949798	0.00405858083961891	0.00577936209811713	0.00528247618420991	0.00547542049518334
ORF9	L	cluster_3	0	0	0	0.00282935455349248	0.00390946502057613	0.00325581395348837	0.00515222482435597	0.00575920305082108	0.00644586161969416	0.00982873672791821	0.00988609151511229	0.010552863874693	0.0083474202282825	0.0076820766831774	0.00860029550171237	0.00533295688931762	0.00466261619275327	0.00482245717092435	0.00343543848626827	0.00343802764174224	0.00329689108589006	0.00307411100033234	0.00300409369325002	0.00315584502786544	0.00444205944608413	0.00422034129307874	0.00472255017709563
ORF10, ORF11	L	cluster_7	0	0	0	0.0244031830238727	0.0325102880658436	0.0309302325581395	0.0170179547228728	0.0182115339715153	0.0159089350613728	0.0228624963018967	0.0234450844605527	0.0238269064843698	0.0252068155638997	0.0250412768299395	0.0230764632032044	0.0200025096267714	0.0198369873059976	0.0200042667830936	0.0173108670806125	0.0175568611571637	0.0178265526856533	0.0149385177799934	0.0153036412324171	0.0144213911084253	0.0128534375918331	0.0135022723107074	0.0132778947008196
ORF12, ORF13, ORF14	L	cluster_6	0	0	0	0.00813439434129089	0.00823045267489712	0.00953488372093023	0.0220921155347385	0.0189898046540587	0.0194061578550367	0.0409749843857861	0.0412756455892823	0.0398553129355545	0.0376830673029455	0.0404054301962943	0.0392948953360264	0.0329623791261793	0.0325846515260826	0.0332114488705428	0.0407039307030618	0.0433344284088044	0.0429054321594845	0.0417192865846904	0.0417495152205362	0.0400188007788894	0.0321122993513656	0.0327428928606676	0.0323563129887241
ORF18, ORF17, ORF16, ORF15	L	cluster_8	0	0	0	0	0	0.000697674418604651	0	0.000155654136508678	6.85729959541932e-05	0.000788928700568686	0.00077664876059802	0.000696887237008031	0.00276751387496821	0.00272885709044212	0.00315998940976522	0.0680187280897819	0.0687706076307113	0.0664080136140149	0.126927421349178	0.130599210017649	0.129558233266506	0.129799490417636	0.128369602019145	0.128695807873945	0.0739945741287303	0.0739311680194004	0.0811944972024024
