gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
ORF7	E	cluster_5	0	0	0	2	1	0	1	1	0	0	0	0	3	3	4	6	6	7	0	0	0	0	0	1	0	2
ORF70	L	cluster_7	1	2	0	13	15	8	2	5	3	16	9	17	86	117	165	668	405	470	101	69	55	76	63	54	95	83
ORF71	unknown	cluster_8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	18	13	13	2	0	3	39	20	9	28	18
ORF72	L	cluster_9	0	0	0	0	0	0	0	0	0	0	1	0	6	7	9	179	118	127	83	57	32	183	150	121	217	181
ORF73	L	cluster_2	0	0	0	1	0	0	0	0	1	14	12	12	41	69	62	215	127	125	37	40	32	49	28	34	74	49
ORF74	L	cluster_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0	0	0
ORF75	unknown	cluster_5	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	5	0	0	0	0	1	0	0	0	0
ORF76	L	cluster_10	0	0	0	0	0	0	0	0	0	4	0	4	3	4	9	7	17	11	3	0	0	3	0	0	0	2
ORF8	L	cluster_2	0	0	0	0	0	0	0	2	2	47	33	39	73	93	83	259	164	168	107	60	67	111	87	73	149	84
ORF9	L	cluster_1	0	0	0	6	5	7	8	15	19	60	64	80	91	124	136	167	90	113	21	20	23	20	11	9	28	21
