gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
CTO	unknown	cluster_2	0	6.33333333333333	12.3333333333333	130.333333333333	493	1618	621.666666666667	540.333333333333	898
NOIR_1	unknown	cluster_7	0	0	0.666666666666667	1.66666666666667	0	2.66666666666667	2.33333333333333	2.33333333333333	5
NOIR_2	unknown	cluster_1	0	10	4.66666666666667	24.6666666666667	36	71.3333333333333	24.3333333333333	22.6666666666667	62
ORF1	unknown	cluster_1	0	18.6666666666667	15.3333333333333	26.6666666666667	83	141.333333333333	48.6666666666667	35.6666666666667	91.5
ORF10	L	cluster_6	0	15.6666666666667	8.66666666666667	5.33333333333333	31.3333333333333	75	35.3333333333333	71	162.5
ORF11	L	cluster_2	0	1.66666666666667	2	51.3333333333333	159	295.666666666667	86.3333333333333	76	143.5
ORF12	L	cluster_7	0	0	0	0	0	0.666666666666667	0.333333333333333	5	3.5
ORF13	L	cluster_4	0	0	0	0	7.66666666666667	85.3333333333333	17.6666666666667	151	100.5
ORF14	L	cluster_8	0	2	3	10.6666666666667	114	176.333333333333	32.6666666666667	53.6666666666667	61
ORF15	unknown	cluster_9	0	0	0	2	17.3333333333333	3181	3659.66666666667	3702	2450.5
ORF16	L	cluster_9	0	0	0	0	1.66666666666667	618.333333333333	300.333333333333	1032.33333333333	879
ORF17	L	cluster_5	0	4.33333333333333	1.66666666666667	3	6.33333333333333	17.3333333333333	5	3.33333333333333	2.5
ORF18	L	cluster_1	0	18.3333333333333	28	93	496	781	79.6666666666667	72.3333333333333	123
ORF19	L	cluster_10	0	0	2	11.6666666666667	26.6666666666667	41	7.33333333333333	7.66666666666667	13.5
ORF2	unknown	cluster_2	0	0	0.666666666666667	21.6666666666667	108	234.666666666667	43	26.3333333333333	76
ORF20	E	cluster_1	0	42	47.6666666666667	132	300	455.666666666667	91.3333333333333	73	128
ORF21	E	cluster_1	0	12.3333333333333	13	9	74.3333333333333	158.333333333333	12.3333333333333	24	24.5
ORF22	L	cluster_2	0	4	12.6666666666667	45.6666666666667	169.333333333333	470	206	307.666666666667	367
ORF23	L	cluster_8	0	1	0	3.33333333333333	35	74.3333333333333	13.6666666666667	50	55
ORF24	L	cluster_5	0	0	0	0	1	5.66666666666667	0	1.33333333333333	0
ORF25	L	cluster_11	1	1.33333333333333	1.66666666666667	599.333333333333	2062.66666666667	8749.66666666667	6155	5409.33333333333	7359.5
ORF26	L	cluster_2	0	0.333333333333333	0	18	66.3333333333333	107	26.6666666666667	18.6666666666667	42.5
ORF27	L	cluster_7	0	0	0.333333333333333	0.333333333333333	0.666666666666667	6.66666666666667	2	5	4
ORF28	L	cluster_5	0	0	0	0	1.33333333333333	3.33333333333333	0	0.666666666666667	0.5
ORF29	L	cluster_2	0	1.33333333333333	9.66666666666667	198.333333333333	511.333333333333	862	227.666666666667	254.333333333333	144
ORF3	L	cluster_2	0	0.333333333333333	6.33333333333333	68.3333333333333	145	256.666666666667	71.6666666666667	51.6666666666667	50.5
ORF30	E	cluster_12	0	30	21	3.66666666666667	5.66666666666667	9.66666666666667	0.666666666666667	1.33333333333333	1.5
ORF31	E	cluster_1	0	108	170.333333333333	88.6666666666667	375.333333333333	716.333333333333	51	133	99
ORF32	E	cluster_5	0	0	0.333333333333333	0	1.66666666666667	4	0.333333333333333	0.666666666666667	0.5
ORF33	L	cluster_4	0	0	0	1.33333333333333	51.3333333333333	234.666666666667	35.6666666666667	179.666666666667	165.5
ORF34	unknown	cluster_1	0	161.666666666667	154.333333333333	656.666666666667	1382.33333333333	2436.33333333333	840	546.333333333333	814.5
ORF35	L	cluster_7	0	0	0	0	0	1.33333333333333	0.333333333333333	3.33333333333333	3
ORF35.5	L	cluster_11	0	0.666666666666667	4	102	489	1443	842.333333333333	1285.33333333333	941.5
ORF36	L	cluster_2	0	0.333333333333333	2.66666666666667	14.6666666666667	61.6666666666667	152.333333333333	39.3333333333333	61.6666666666667	58
ORF37	L	cluster_10	0	0.666666666666667	2	13.3333333333333	19.3333333333333	17	5.33333333333333	4	8
ORF38	L	cluster_1	0	5.33333333333333	11.3333333333333	22.3333333333333	89.3333333333333	129.333333333333	22	11.6666666666667	17
ORF39	L	cluster_8	0	0	0	1	30	104.333333333333	7.33333333333333	21	14
ORF4	unknown	cluster_1	0	5	9	32	36.6666666666667	48.6666666666667	5.66666666666667	6	10
ORF40	L	cluster_2	0	0	0.666666666666667	14.6666666666667	56.6666666666667	136.333333333333	35.6666666666667	40	38.5
ORF41	L	cluster_7	0	0	0	0	0.666666666666667	2	0	5.66666666666667	2.5
ORF42	L	cluster_4	0	0.666666666666667	0	0.666666666666667	52.3333333333333	257.666666666667	27.6666666666667	193	124
ORF43	L	cluster_11	0	1	3.66666666666667	39	232	825.666666666667	306	464	658.5
ORF44	L	cluster_7	0	0	0	0.333333333333333	4	14	2.66666666666667	10	3
ORF46	L	cluster_11	0	0.666666666666667	0.333333333333333	8	65	235.333333333333	76.3333333333333	100.333333333333	200
ORF48	L	cluster_8	0	0	0	0	2.33333333333333	31.6666666666667	6.33333333333333	26	23.5
ORF49	L	cluster_7	0	0.333333333333333	0.333333333333333	1.33333333333333	5.33333333333333	18	1.66666666666667	7	5.5
ORF5	E	cluster_3	0	145.333333333333	160	134.333333333333	140.333333333333	210	23.6666666666667	17.6666666666667	30
ORF50	L	cluster_1	0	3	6	13	33	60	7.33333333333333	12.6666666666667	13
ORF51	E	cluster_10	0	0.666666666666667	3	24.3333333333333	19	31.6666666666667	26	9.33333333333333	33
ORF52	L	cluster_9	0	0	0	3	28	310.333333333333	296.333333333333	678	1192
ORF53	E	cluster_12	0	17.3333333333333	3.33333333333333	0.333333333333333	3.66666666666667	12.6666666666667	1	4	6
ORF54	E	cluster_9	0	0	0	1.33333333333333	12.3333333333333	393	501.666666666667	1937	2818.5
ORF57	L	cluster_8	0	0	0	0	0.666666666666667	2.66666666666667	1.33333333333333	7.66666666666667	12
ORF58	L	cluster_11	0	0	0	7	53.6666666666667	245.666666666667	120.666666666667	107.666666666667	213.5
ORF59	L	cluster_7	0	0	0.333333333333333	2.33333333333333	3.66666666666667	7.33333333333333	6.33333333333333	3.66666666666667	10
ORF6	L	cluster_4	0.333333333333333	0	0	5	48.3333333333333	241.333333333333	97.6666666666667	363.333333333333	220.5
ORF60	L	cluster_9	0	0.333333333333333	0	2	29.3333333333333	1026	399	864.333333333333	1084.5
ORF61	E	cluster_1	0	22	36.6666666666667	35.3333333333333	101.333333333333	200.333333333333	22.3333333333333	39	38
ORF62	L	cluster_11	0	0	0.666666666666667	10	109.333333333333	586.666666666667	122.666666666667	468	502.5
ORF63	E	cluster_12	0	125.333333333333	82.3333333333333	36.6666666666667	43.3333333333333	48	4.66666666666667	4.33333333333333	6.5
ORF64_1	IE	cluster_5	0	1	2	0.333333333333333	12.3333333333333	13.6666666666667	0	0	0
ORF65_1	E	cluster_3	0.666666666666667	231	262	297.333333333333	367.666666666667	374.666666666667	19.3333333333333	12	18
ORF66_1	unknown	cluster_10	0	0.333333333333333	0.333333333333333	18.3333333333333	40.6666666666667	57.3333333333333	8.33333333333333	6	2.5
ORF67_1	L	cluster_5	1	175	87	212	855.333333333334	1081.33333333333	149	101	357
ORF68	L	cluster_8	0	0	0	1	19.3333333333333	76.3333333333333	6.33333333333333	9	8
ORF69	E	cluster_3	0.333333333333333	76.3333333333333	71.6666666666667	52.3333333333333	96.6666666666667	107.333333333333	7	9.33333333333333	11
ORF7	E	cluster_5	0	1	0.666666666666667	0	3.33333333333333	6.33333333333333	0	0.333333333333333	1
ORF70	L	cluster_7	1	12	3.33333333333333	14	122.666666666667	514.333333333333	75	64.3333333333333	89
ORF71	unknown	cluster_8	0	0	0	0	0.666666666666667	14.6666666666667	1.66666666666667	22.6666666666667	23
ORF72	L	cluster_9	0	0	0	0.333333333333333	7.33333333333333	141.333333333333	57.3333333333333	151.333333333333	199
ORF73	L	cluster_2	0	0.333333333333333	0.333333333333333	12.6666666666667	57.3333333333333	155.666666666667	36.3333333333333	37	61.5
