gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels
CTO	unknown	12h	12	RK-13	2008	369.833746432096	0.184180152605626	2	2
CTO	unknown	18h	18	RK-13	833.333333333333	322.77752916418	0.387333034997017	2	2
CTO	unknown	1h	1	RK-13	0	0		2	2
CTO	unknown	24h	24	RK-13	778.666666666667	194.227529802892	0.249436039986591	2	2
CTO	unknown	2h	2	RK-13	6.33333333333333	4.72581562625261	0.746181414671464	2	2
CTO	unknown	48h	48	RK-13	1133.66666666667	306.049560256723	0.269964328365236	2	2
CTO	unknown	4h	4	RK-13	17.6666666666667	3.78593889720018	0.214298428143407	2	2
CTO	unknown	6h	6	RK-13	164.333333333333	12.0968315410827	0.0736115509599353	2	2
CTO	unknown	8h	8	RK-13	624	137.226090813664	0.21991360707318	2	2
NOIR_1	unknown	12h	12	RK-13	4.66666666666667	0.577350269189626	0.123717914826348	2	2
NOIR_1	unknown	18h	18	RK-13	3.66666666666667	0.577350269189626	0.157459164324443	2	2
NOIR_1	unknown	1h	1	RK-13	0	0		2	2
NOIR_1	unknown	24h	24	RK-13	3	1	0.333333333333333	2	2
NOIR_1	unknown	2h	2	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	2	2
NOIR_1	unknown	48h	48	RK-13	5.33333333333333	2.88675134594813	0.541265877365274	2	2
NOIR_1	unknown	4h	4	RK-13	0.666666666666667	0.577350269189626	0.866025403784439	2	2
NOIR_1	unknown	6h	6	RK-13	1.66666666666667	1.52752523165195	0.916515138991168	2	2
NOIR_1	unknown	8h	8	RK-13	0.666666666666667	0.577350269189626	0.866025403784439	2	2
NOIR_2	unknown	12h	12	RK-13	96.3333333333333	15.6950098226581	0.162923977397835	1	1
NOIR_2	unknown	18h	18	RK-13	37	17	0.45945945945946	1	1
NOIR_2	unknown	1h	1	RK-13	0	0		1	1
NOIR_2	unknown	24h	24	RK-13	31.6666666666667	7.50555349946514	0.237017478930478	1	1
NOIR_2	unknown	2h	2	RK-13	13	2	0.153846153846154	1	1
NOIR_2	unknown	48h	48	RK-13	69.3333333333333	40.0041664496754	0.576983169947241	1	1
NOIR_2	unknown	4h	4	RK-13	7	5	0.714285714285714	1	1
NOIR_2	unknown	6h	6	RK-13	36.3333333333333	3.78593889720018	0.10420015313395	1	1
NOIR_2	unknown	8h	8	RK-13	49	13.5277492584687	0.276076515478953	1	1
ORF1	unknown	12h	12	RK-13	155.333333333333	31.0859024854247	0.200123835743077	1	1
ORF1	unknown	18h	18	RK-13	53.6666666666667	14.6401275039985	0.272797406906804	1	1
ORF1	unknown	1h	1	RK-13	0	0		1	1
ORF1	unknown	24h	24	RK-13	39	10.4403065089106	0.267700166895142	1	1
ORF1	unknown	2h	2	RK-13	19.6666666666667	3.21455025366432	0.16345170781344	1	1
ORF1	unknown	48h	48	RK-13	76.3333333333333	45.9383645043371	0.601812635427996	1	1
ORF1	unknown	4h	4	RK-13	17	4.35889894354067	0.256405820208275	1	1
ORF1	unknown	6h	6	RK-13	29.3333333333333	7.57187779440037	0.258132197536376	1	1
ORF1	unknown	8h	8	RK-13	89	20.0748598998847	0.22556022359421	1	1
ORF10	L	12h	12	RK-13	105.666666666667	31.5647482697603	0.298720015171233	2	2
ORF10	L	18h	18	RK-13	55.3333333333333	18.8237438713273	0.340188142252904	2	2
ORF10	L	1h	1	RK-13	0	0		2	2
ORF10	L	24h	24	RK-13	116	18.2482875908947	0.157312824059437	2	2
ORF10	L	2h	2	RK-13	20.6666666666667	1.52752523165195	0.0739125112089652	2	2
ORF10	L	48h	48	RK-13	210.666666666667	82.5005050489592	0.391616321434933	2	2
ORF10	L	4h	4	RK-13	11	1	0.0909090909090909	2	2
ORF10	L	6h	6	RK-13	9	4.35889894354067	0.484322104837853	2	2
ORF10	L	8h	8	RK-13	44.6666666666667	30.2709982216202	0.677708915409408	2	2
ORF11	L	12h	12	RK-13	410	125.191852770058	0.305345982365996	2	2
ORF11	L	18h	18	RK-13	113	17.0880074906351	0.151221305226859	2	2
ORF11	L	1h	1	RK-13	0	0		2	2
ORF11	L	24h	24	RK-13	103.333333333333	41.3077878048841	0.399752785208556	2	2
ORF11	L	2h	2	RK-13	1.66666666666667	0.577350269189626	0.346410161513775	2	2
ORF11	L	48h	48	RK-13	156	91.804139340228	0.588488072693769	2	2
ORF11	L	4h	4	RK-13	2.33333333333333	1.15470053837925	0.494871659305393	2	2
ORF11	L	6h	6	RK-13	65	8.18535277187245	0.125928504182653	2	2
ORF11	L	8h	8	RK-13	209.666666666667	57.8388566046506	0.275861001294041	2	2
ORF12	L	12h	12	RK-13	456.666666666667	146.315868357924	0.32039971173268	2	2
ORF12	L	18h	18	RK-13	393.666666666667	78.4495591659592	0.199279151141302	2	2
ORF12	L	1h	1	RK-13	0	0		2	2
ORF12	L	24h	24	RK-13	783.333333333333	232.637772799976	0.29698439080848	2	2
ORF12	L	2h	2	RK-13	0	0		2	2
ORF12	L	48h	48	RK-13	822.333333333333	348.247517339799	0.423487049865989	2	2
ORF12	L	4h	4	RK-13	0.666666666666667	1.15470053837925	1.73205080756888	2	2
ORF12	L	6h	6	RK-13	10.3333333333333	0.577350269189626	0.0558726066957702	2	2
ORF12	L	8h	8	RK-13	55.6666666666667	7.23417813807024	0.129955295893477	2	2
ORF13	L	12h	12	RK-13	203.666666666667	72.2518742548132	0.354755520072732	2	2
ORF13	L	18h	18	RK-13	104.666666666667	51.597803570824	0.492972645581121	2	2
ORF13	L	1h	1	RK-13	0	0		2	2
