gene	Kinetic_class	hpi	Time	cell_line	sample	seqnames	strand	norm_base	group	read_count	norm_read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene
CTO	unknown	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	-	1	RK-13_1h	0	1.50375573851244	0	0		0		NA	cluster_2	1	CTO::1
CTO	unknown	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	-	1	RK-13_1h	0	1.50375573851244	0	0		0		NA	cluster_2	2	CTO::2
CTO	unknown	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	-	1	RK-13_1h	0	1.50375573851244	0	0		0		NA	cluster_2	3	CTO::3
CTO	unknown	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	-	1	RK-13_2h	10	4.05597431121752	6.33333333333333	4.72581562625261	0.746181414671464	3.66666666666667	FALSE	NA	cluster_2	1	CTO::1
CTO	unknown	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	-	1	RK-13_2h	1	2.02194115709549	6.33333333333333	4.72581562625261	0.746181414671464	5.33333333333333	TRUE	2	cluster_2	2	CTO::2
CTO	unknown	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	-	1	RK-13_2h	8	3.66689869218004	6.33333333333333	4.72581562625261	0.746181414671464	1.66666666666667	FALSE	NA	cluster_2	3	CTO::3
CTO	unknown	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	-	1	RK-13_4h	13	4.55253578334728	12.3333333333333	1.15470053837925	0.0936243679766961	0.666666666666666	FALSE	NA	cluster_2	1	CTO::1
CTO	unknown	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	-	1	RK-13_4h	11	4.49770104163308	12.3333333333333	1.15470053837925	0.0936243679766961	1.33333333333333	TRUE	2	cluster_2	2	CTO::2
CTO	unknown	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	-	1	RK-13_4h	13	4.02269973612015	12.3333333333333	1.15470053837925	0.0936243679766961	0.666666666666666	FALSE	NA	cluster_2	3	CTO::3
CTO	unknown	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	-	1	RK-13_6h	135	6.6636571163156	130.333333333333	7.23417813807024	0.0555052031053982	4.66666666666666	FALSE	NA	cluster_2	1	CTO::1
CTO	unknown	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	-	1	RK-13_6h	122	6.71016872488076	130.333333333333	7.23417813807024	0.0555052031053982	8.33333333333334	TRUE	2	cluster_2	2	CTO::2
