gene	Kinetic_class	hpi	Time	cell_line	sample	seqnames	strand	norm_base	group	read_count	norm_read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels
CTO	unknown	48h	48	RK-13	EHV-1_48h_1	NC_001491.2	-	1	RK-13_48h	1463	8.74184513464904	1133.66666666667	306.049560256723	0.269964328365236	329.333333333333	TRUE	1	2	2
CTO	unknown	48h	48	RK-13	EHV-1_48h_2	NC_001491.2	-	1	RK-13_48h	1080	8.75515706887702	1133.66666666667	306.049560256723	0.269964328365236	53.6666666666667	FALSE	NA	2	2
CTO	unknown	48h	48	RK-13	EHV-1_48h_3	NC_001491.2	-	1	RK-13_48h	858	8.78697625075918	1133.66666666667	306.049560256723	0.269964328365236	275.666666666667	FALSE	NA	2	2
NOIR_1	unknown	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
NOIR_1	unknown	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
NOIR_1	unknown	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
NOIR_1	unknown	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	+	1	RK-13_2h	1	-0.258275787023378	0.333333333333333	0.577350269189626	1.73205080756888	0.666666666666667	TRUE	1	2	2
NOIR_1	unknown	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	+	1	RK-13_2h	0	-1.63673924139448	0.333333333333333	0.577350269189626	1.73205080756888	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	+	1	RK-13_2h	0	-1.63673924139448	0.333333333333333	0.577350269189626	1.73205080756888	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	+	1	RK-13_4h	1	-0.186165348121032	0.666666666666667	0.577350269189626	0.866025403784439	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	+	1	RK-13_4h	1	-0.000687625893181165	0.666666666666667	0.577350269189626	0.866025403784439	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	+	1	RK-13_4h	0	-1.63673924139448	0.666666666666667	0.577350269189626	0.866025403784439	0.666666666666667	TRUE	3	2	2
NOIR_1	unknown	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	+	1	RK-13_6h	3	-0.0359644432278845	1.66666666666667	1.52752523165195	0.916515138991168	1.33333333333333	FALSE	NA	2	2
NOIR_1	unknown	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	+	1	RK-13_6h	0	-1.63673924139448	1.66666666666667	1.52752523165195	0.916515138991168	1.66666666666667	TRUE	2	2	2
NOIR_1	unknown	6h	6	RK-13	EHV-1_6h_3	NC_001491.2	+	1	RK-13_6h	2	-0.389607822193734	1.66666666666667	1.52752523165195	0.916515138991168	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	8h	8	RK-13	EHV-1_8h_1	NC_001491.2	+	1	RK-13_8h	1	-1.28191710494536	0.666666666666667	0.577350269189626	0.866025403784439	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	8h	8	RK-13	EHV-1_8h_2	NC_001491.2	+	1	RK-13_8h	1	-1.34640699601296	0.666666666666667	0.577350269189626	0.866025403784439	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	8h	8	RK-13	EHV-1_8h_3	NC_001491.2	+	1	RK-13_8h	0	-1.63673924139448	0.666666666666667	0.577350269189626	0.866025403784439	0.666666666666667	TRUE	3	2	2
NOIR_1	unknown	12h	12	RK-13	EHV-1_12h_1	NC_001491.2	+	1	RK-13_12h	5	-1.20085771656487	4.66666666666667	0.577350269189626	0.123717914826348	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	12h	12	RK-13	EHV-1_12h_2	NC_001491.2	+	1	RK-13_12h	5	-1.03347035014884	4.66666666666667	0.577350269189626	0.123717914826348	0.333333333333333	FALSE	NA	2	2
NOIR_1	unknown	12h	12	RK-13	EHV-1_12h_3	NC_001491.2	+	1	RK-13_12h	4	-1.11660275735133	4.66666666666667	0.577350269189626	0.123717914826348	0.666666666666667	TRUE	3	2	2
NOIR_1	unknown	18h	18	RK-13	EHV-1_18h_1	NC_001491.2	+	1	RK-13_18h	4	-0.534142126711879	3.66666666666667	0.577350269189626	0.157459164324443	0.333333333333334	FALSE	NA	2	2
NOIR_1	unknown	18h	18	RK-13	EHV-1_18h_2	NC_001491.2	+	1	RK-13_18h	4	-0.304762315889364	3.66666666666667	0.577350269189626	0.157459164324443	0.333333333333334	FALSE	NA	2	2
NOIR_1	unknown	18h	18	RK-13	EHV-1_18h_3	NC_001491.2	+	1	RK-13_18h	3	-0.388526760639619	3.66666666666667	0.577350269189626	0.157459164324443	0.666666666666667	TRUE	3	2	2
NOIR_1	unknown	24h	24	RK-13	EHV-1_24h_1	NC_001491.2	+	1	RK-13_24h	4	-0.76277891425462	3	1	0.333333333333333	1	TRUE	1	2	2
NOIR_1	unknown	24h	24	RK-13	EHV-1_24h_2	NC_001491.2	+	1	RK-13_24h	3	-0.696640834145874	3	1	0.333333333333333	0	FALSE	NA	2	2
NOIR_1	unknown	24h	24	RK-13	EHV-1_24h_3	NC_001491.2	+	1	RK-13_24h	2	-0.816731389038608	3	1	0.333333333333333	1	TRUE	3	2	2
NOIR_1	unknown	48h	48	RK-13	EHV-1_48h_1	NC_001491.2	+	1	RK-13_48h	7	-0.463836971288421	5.33333333333333	2.88675134594813	0.541265877365274	1.66666666666667	FALSE	NA	2	2
NOIR_1	unknown	48h	48	RK-13	EHV-1_48h_2	NC_001491.2	+	1	RK-13_48h	7	-0.178318635680708	5.33333333333333	2.88675134594813	0.541265877365274	1.66666666666667	FALSE	NA	2	2
NOIR_1	unknown	48h	48	RK-13	EHV-1_48h_3	NC_001491.2	+	1	RK-13_48h	2	-0.9196687855886	5.33333333333333	2.88675134594813	0.541265877365274	3.33333333333333	TRUE	3	2	2
NOIR_2	unknown	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	-	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
NOIR_2	unknown	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	-	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
NOIR_2	unknown	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	-	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
NOIR_2	unknown	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	-	1	RK-13_2h	15	4.55447885486931	13	2	0.153846153846154	2	TRUE	1	1	1
NOIR_2	unknown	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	-	1	RK-13_2h	11	3.93458100082444	13	2	0.153846153846154	2	TRUE	2	1	1
NOIR_2	unknown	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	-	1	RK-13_2h	13	4.4694822875888	13	2	0.153846153846154	0	FALSE	NA	1	1
NOIR_2	unknown	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	-	1	RK-13_4h	2	0.68201434226539	7	5	0.714285714285714	5	TRUE	1	1	1
NOIR_2	unknown	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	-	1	RK-13_4h	7	3.48639380820018	7	5	0.714285714285714	0	FALSE	NA	1	1
NOIR_2	unknown	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	-	1	RK-13_4h	12	3.76973917711706	7	5	0.714285714285714	5	TRUE	3	1	1
NOIR_2	unknown	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	-	1	RK-13_6h	32	4.30226115699943	36.3333333333333	3.78593889720018	0.10420015313395	4.33333333333334	TRUE	1	1	1
NOIR_2	unknown	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	-	1	RK-13_6h	38	4.78691251702819	36.3333333333333	3.78593889720018	0.10420015313395	1.66666666666666	FALSE	NA	1	1
NOIR_2	unknown	6h	6	RK-13	EHV-1_6h_3	NC_001491.2	-	1	RK-13_6h	39	4.79207562129927	36.3333333333333	3.78593889720018	0.10420015313395	2.66666666666666	FALSE	NA	1	1
NOIR_2	unknown	8h	8	RK-13	EHV-1_8h_1	NC_001491.2	-	1	RK-13_8h	35	2.37604460915478	49	13.5277492584687	0.276076515478953	14	TRUE	1	1	1
NOIR_2	unknown	8h	8	RK-13	EHV-1_8h_2	NC_001491.2	-	1	RK-13_8h	62	3.0479526372167	49	13.5277492584687	0.276076515478953	13	FALSE	NA	1	1
NOIR_2	unknown	8h	8	RK-13	EHV-1_8h_3	NC_001491.2	-	1	RK-13_8h	50	2.19370138287506	49	13.5277492584687	0.276076515478953	1	FALSE	NA	1	1
NOIR_2	unknown	12h	12	RK-13	EHV-1_12h_1	NC_001491.2	-	1	RK-13_12h	114	2.05191369617991	96.3333333333333	15.6950098226581	0.162923977397835	17.6666666666667	TRUE	1	1	1
NOIR_2	unknown	12h	12	RK-13	EHV-1_12h_2	NC_001491.2	-	1	RK-13_12h	84	2.33119952778412	96.3333333333333	15.6950098226581	0.162923977397835	12.3333333333333	FALSE	NA	1	1
NOIR_2	unknown	12h	12	RK-13	EHV-1_12h_3	NC_001491.2	-	1	RK-13_12h	91	2.54960278740443	96.3333333333333	15.6950098226581	0.162923977397835	5.33333333333333	FALSE	NA	1	1
NOIR_2	unknown	18h	18	RK-13	EHV-1_18h_1	NC_001491.2	-	1	RK-13_18h	54	3.67933274632741	37	17	0.45945945945946	17	TRUE	1	1	1
NOIR_2	unknown	18h	18	RK-13	EHV-1_18h_2	NC_001491.2	-	1	RK-13_18h	37	3.44616447085443	37	17	0.45945945945946	0	FALSE	NA	1	1
NOIR_2	unknown	18h	18	RK-13	EHV-1_18h_3	NC_001491.2	-	1	RK-13_18h	20	2.52524066600667	37	17	0.45945945945946	17	TRUE	3	1	1
NOIR_2	unknown	24h	24	RK-13	EHV-1_24h_1	NC_001491.2	-	1	RK-13_24h	39	2.26213165185437	31.6666666666667	7.50555349946514	0.237017478930478	7.33333333333333	FALSE	NA	1	1
NOIR_2	unknown	24h	24	RK-13	EHV-1_24h_2	NC_001491.2	-	1	RK-13_24h	32	2.67466443093064	31.6666666666667	7.50555349946514	0.237017478930478	0.333333333333332	FALSE	NA	1	1
NOIR_2	unknown	24h	24	RK-13	EHV-1_24h_3	NC_001491.2	-	1	RK-13_24h	24	2.51586911258963	31.6666666666667	7.50555349946514	0.237017478930478	7.66666666666667	TRUE	3	1	1
NOIR_2	unknown	48h	48	RK-13	EHV-1_48h_1	NC_001491.2	-	1	RK-13_48h	109	4.16107548261749	69.3333333333333	40.0041664496754	0.576983169947241	39.6666666666667	FALSE	NA	1	1
NOIR_2	unknown	48h	48	RK-13	EHV-1_48h_2	NC_001491.2	-	1	RK-13_48h	70	3.89064733189359	69.3333333333333	40.0041664496754	0.576983169947241	0.666666666666671	FALSE	NA	1	1
NOIR_2	unknown	48h	48	RK-13	EHV-1_48h_3	NC_001491.2	-	1	RK-13_48h	29	2.52352945991047	69.3333333333333	40.0041664496754	0.576983169947241	40.3333333333333	TRUE	3	1	1
ORF1	unknown	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
ORF1	unknown	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
ORF1	unknown	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	1	1
ORF1	unknown	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	+	1	RK-13_2h	21	5.22019486794095	19.6666666666667	3.21455025366432	0.16345170781344	1.33333333333333	FALSE	NA	1	1
ORF1	unknown	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	+	1	RK-13_2h	22	5.32367020317845	19.6666666666667	3.21455025366432	0.16345170781344	2.33333333333333	FALSE	NA	1	1
ORF1	unknown	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	+	1	RK-13_2h	16	4.88470254252011	19.6666666666667	3.21455025366432	0.16345170781344	3.66666666666667	TRUE	3	1	1
ORF1	unknown	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	+	1	RK-13_4h	14	4.56354456284867	17	4.35889894354067	0.256405820208275	3	FALSE	NA	1	1
ORF1	unknown	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	+	1	RK-13_4h	15	5.04746318708293	17	4.35889894354067	0.256405820208275	2	FALSE	NA	1	1
ORF1	unknown	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	+	1	RK-13_4h	22	5.0012793820398	17	4.35889894354067	0.256405820208275	5	TRUE	3	1	1
ORF1	unknown	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	+	1	RK-13_6h	26	3.87364261964902	29.3333333333333	7.57187779440037	0.258132197536376	3.33333333333333	FALSE	NA	1	1
ORF1	unknown	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	+	1	RK-13_6h	24	3.85045069990434	29.3333333333333	7.57187779440037	0.258132197536376	5.33333333333333	FALSE	NA	1	1
ORF1	unknown	6h	6	RK-13	EHV-1_6h_3	NC_001491.2	+	1	RK-13_6h	38	4.74034330709459	29.3333333333333	7.57187779440037	0.258132197536376	8.66666666666667	TRUE	3	1	1
ORF1	unknown	8h	8	RK-13	EHV-1_8h_1	NC_001491.2	+	1	RK-13_8h	66	3.75535773520979	89	20.0748598998847	0.22556022359421	23	TRUE	1	1	1
ORF1	unknown	8h	8	RK-13	EHV-1_8h_2	NC_001491.2	+	1	RK-13_8h	103	4.13341603725528	89	20.0748598998847	0.22556022359421	14	FALSE	NA	1	1
ORF1	unknown	8h	8	RK-13	EHV-1_8h_3	NC_001491.2	+	1	RK-13_8h	98	3.65390549246336	89	20.0748598998847	0.22556022359421	9	FALSE	NA	1	1
ORF1	unknown	12h	12	RK-13	EHV-1_12h_1	NC_001491.2	+	1	RK-13_12h	191	3.16509614241588	155.333333333333	31.0859024854247	0.200123835743077	35.6666666666667	TRUE	1	1	1
ORF1	unknown	12h	12	RK-13	EHV-1_12h_2	NC_001491.2	+	1	RK-13_12h	134	3.35043177089848	155.333333333333	31.0859024854247	0.200123835743077	21.3333333333333	FALSE	NA	1	1
ORF1	unknown	12h	12	RK-13	EHV-1_12h_3	NC_001491.2	+	1	RK-13_12h	141	3.50804661563237	155.333333333333	31.0859024854247	0.200123835743077	14.3333333333333	FALSE	NA	1	1
ORF1	unknown	18h	18	RK-13	EHV-1_18h_1	NC_001491.2	+	1	RK-13_18h	67	4.13061296202243	53.6666666666667	14.6401275039985	0.272797406906804	13.3333333333333	FALSE	NA	1	1
ORF1	unknown	18h	18	RK-13	EHV-1_18h_2	NC_001491.2	+	1	RK-13_18h	56	4.31518942315423	53.6666666666667	14.6401275039985	0.272797406906804	2.33333333333334	FALSE	NA	1	1
ORF1	unknown	18h	18	RK-13	EHV-1_18h_3	NC_001491.2	+	1	RK-13_18h	38	3.91733884256706	53.6666666666667	14.6401275039985	0.272797406906804	15.6666666666667	TRUE	3	1	1
ORF1	unknown	24h	24	RK-13	EHV-1_24h_1	NC_001491.2	+	1	RK-13_24h	51	2.84213507694118	39	10.4403065089106	0.267700166895142	12	TRUE	1	1	1
ORF1	unknown	24h	24	RK-13	EHV-1_24h_2	NC_001491.2	+	1	RK-13_24h	32	2.67466443093064	39	10.4403065089106	0.267700166895142	7	FALSE	NA	1	1
ORF1	unknown	24h	24	RK-13	EHV-1_24h_3	NC_001491.2	+	1	RK-13_24h	34	3.27948064290949	39	10.4403065089106	0.267700166895142	5	FALSE	NA	1	1
ORF1	unknown	48h	48	RK-13	EHV-1_48h_1	NC_001491.2	+	1	RK-13_48h	116	4.28839660795737	76.3333333333333	45.9383645043371	0.601812635427996	39.6666666666667	FALSE	NA	1	1
ORF1	unknown	48h	48	RK-13	EHV-1_48h_2	NC_001491.2	+	1	RK-13_48h	87	4.33865697775268	76.3333333333333	45.9383645043371	0.601812635427996	10.6666666666667	FALSE	NA	1	1
ORF1	unknown	48h	48	RK-13	EHV-1_48h_3	NC_001491.2	+	1	RK-13_48h	26	2.29002420304943	76.3333333333333	45.9383645043371	0.601812635427996	50.3333333333333	TRUE	3	1	1
