gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF32, ORF33, ORF34	E/L	4h	4	RK-13	675.666666666667	109.454709050517	0.161995129329823	cluster_5
ORF32, ORF33, ORF34	E/L	6h	6	RK-13	4101.66666666667	85.2193248819382	0.0207767553552064	cluster_5
ORF32, ORF33, ORF34	E/L	8h	8	RK-13	5376.66666666667	1526.46465184535	0.283905390919779	cluster_5
ORF32, ORF33, ORF34	E/L	12h	12	RK-13	10004.3333333333	2281.36150869022	0.228037334690656	cluster_5
ORF32, ORF33, ORF34	E/L	18h	18	RK-13	7803.33333333333	1020.17710880677	0.130736066912443	cluster_5
ORF32, ORF33, ORF34	E/L	24h	24	RK-13	3475.66666666667	588.501770034155	0.169320543790397	cluster_5
ORF32, ORF33, ORF34	E/L	48h	48	RK-13	4513.5	420.728534805996	0.0932155832072661	cluster_5
ORF36	L	1h	1	RK-13	0	0		cluster_2
ORF36	L	2h	2	RK-13	1.33333333333333	1.52752523165195	1.14564392373896	cluster_2
ORF36	L	4h	4	RK-13	13.6666666666667	7.23417813807024	0.529330107663676	cluster_2
ORF36	L	6h	6	RK-13	247.666666666667	5.85946527708232	0.0236586754121762	cluster_2
ORF36	L	8h	8	RK-13	568.666666666667	218.048924173758	0.383438905346585	cluster_2
ORF36	L	12h	12	RK-13	1296	286.926819938464	0.221394151187087	cluster_2
ORF36	L	18h	18	RK-13	1189.66666666667	135.876169114872	0.114213647336682	cluster_2
ORF36	L	24h	24	RK-13	650.333333333333	123.127305392969	0.189329531613996	cluster_2
ORF36	L	48h	48	RK-13	1037	63.6396103067893	0.0613689588300765	cluster_2
ORF37	L	1h	1	RK-13	0	0		cluster_3
ORF37	L	2h	2	RK-13	0.666666666666667	0.577350269189626	0.866025403784439	cluster_3
ORF37	L	4h	4	RK-13	11.6666666666667	3.21455025366432	0.275532878885513	cluster_3
ORF37	L	6h	6	RK-13	103.666666666667	4.04145188432738	0.0389850664083027	cluster_3
ORF37	L	8h	8	RK-13	129	43.5545634807651	0.337632275044691	cluster_3
ORF37	L	12h	12	RK-13	167.333333333333	39.5010548382361	0.23606208070659	cluster_3
ORF37	L	18h	18	RK-13	169	35.5105618091294	0.210121667509641	cluster_3
ORF37	L	24h	24	RK-13	102.333333333333	16.7431578064991	0.163613919933216	cluster_3
ORF37	L	48h	48	RK-13	197	5.65685424949238	0.0287149961903167	cluster_3
ORF37, ORF36, ORF35, ORF35.5	L	1h	1	RK-13	0	0		cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	2h	2	RK-13	1.33333333333333	0.577350269189626	0.433012701892219	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	4h	4	RK-13	20	4.58257569495584	0.229128784747792	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	6h	6	RK-13	896.666666666667	17.2143351115671	0.0191981432471009	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	8h	8	RK-13	2826.33333333333	814.081895962153	0.288034637090041	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	12h	12	RK-13	6982.66666666667	1556.77112426115	0.222947936451378	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	18h	18	RK-13	10301	1130.68961258163	0.109765033742514	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	24h	24	RK-13	6363.33333333333	843.348287087448	0.132532470469479	cluster_2
ORF37, ORF36, ORF35, ORF35.5	L	48h	48	RK-13	6297.5	613.061579288737	0.0973499927413635	cluster_2
ORF38	L	1h	1	RK-13	0	0		cluster_5
ORF38	L	2h	2	RK-13	27	5.29150262212918	0.195981578597377	cluster_5
ORF38	L	4h	4	RK-13	147	12	0.0816326530612245	cluster_5
ORF38	L	6h	6	RK-13	814.333333333333	12.7017059221718	0.0155976740755282	cluster_5
ORF38	L	8h	8	RK-13	977.333333333333	252.868213370786	0.258732824049235	cluster_5
ORF38	L	12h	12	RK-13	1695.33333333333	403.366252100164	0.237927399980435	cluster_5
ORF38	L	18h	18	RK-13	1664.66666666667	142.903230660938	0.0858449523393702	cluster_5
ORF38	L	24h	24	RK-13	884.666666666667	131.264364293335	0.148377201537304	cluster_5
ORF38	L	48h	48	RK-13	1103.5	55.8614357137373	0.0506220532068303	cluster_5
ORF39	L	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_9
ORF39	L	2h	2	RK-13	1.66666666666667	2.88675134594813	1.73205080756888	cluster_9
ORF39	L	4h	4	RK-13	5.33333333333333	2.51661147842358	0.471864652204422	cluster_9
ORF39	L	6h	6	RK-13	120.666666666667	8.38649708360608	0.0695013570464592	cluster_9
ORF39	L	8h	8	RK-13	528	129.502895720521	0.245270635834319	cluster_9
ORF39	L	12h	12	RK-13	1473	361.049858052873	0.245111919927273	cluster_9
