gene	Kinetic_class	hpi	Time	cell_line	sample	seqnames	strand	norm_base	group	read_count	norm_read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene
CTO	unknown	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	-	1	RK-13_1h	0	2.45330850883562	0	0		0		NA	cluster_3	1	CTO::1
CTO	unknown	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	-	1	RK-13_1h	0	2.45330850883562	0	0		0		NA	cluster_3	2	CTO::2
CTO	unknown	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	-	1	RK-13_1h	0	2.45330850883562	0	0		0		NA	cluster_3	3	CTO::3
CTO	unknown	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	-	1	RK-13_2h	49	7.98471089761823	40	10.1488915650922	0.253722289127306	9	FALSE	NA	cluster_3	1	CTO::1
CTO	unknown	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	-	1	RK-13_2h	29	7.67959095282125	40	10.1488915650922	0.253722289127306	11	TRUE	2	cluster_3	2	CTO::2
CTO	unknown	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	-	1	RK-13_2h	42	8.5713579791646	40	10.1488915650922	0.253722289127306	2	FALSE	NA	cluster_3	3	CTO::3
CTO	unknown	4h	4	RK-13	EHV-1_4h_1	NC_001491.2	-	1	RK-13_4h	142	9.33466331313502	143.333333333333	2.3094010767585	0.0161121005355244	1.33333333333334	FALSE	NA	cluster_3	1	CTO::1
CTO	unknown	4h	4	RK-13	EHV-1_4h_2	NC_001491.2	-	1	RK-13_4h	142	9.32432092348546	143.333333333333	2.3094010767585	0.0161121005355244	1.33333333333334	FALSE	NA	cluster_3	2	CTO::2
CTO	unknown	4h	4	RK-13	EHV-1_4h_3	NC_001491.2	-	1	RK-13_4h	146	8.84310497043285	143.333333333333	2.3094010767585	0.0161121005355244	2.66666666666666	TRUE	3	cluster_3	3	CTO::3
CTO	unknown	6h	6	RK-13	EHV-1_6h_1	NC_001491.2	-	1	RK-13_6h	1299	8.9301518031913	1297	31.0483493925201	0.0239385885832845	2	FALSE	NA	cluster_3	1	CTO::1
CTO	unknown	6h	6	RK-13	EHV-1_6h_2	NC_001491.2	-	1	RK-13_6h	1327	8.95609938025434	1297	31.0483493925201	0.0239385885832845	30	FALSE	NA	cluster_3	2	CTO::2
CTO	unknown	6h	6	RK-13	EHV-1_6h_3	NC_001491.2	-	1	RK-13_6h	1265	8.90582822013844	1297	31.0483493925201	0.0239385885832845	32	TRUE	3	cluster_3	3	CTO::3
CTO	unknown	8h	8	RK-13	EHV-1_8h_1	NC_001491.2	-	1	RK-13_8h	3581	10.2630496531692	4450.33333333333	956.506839146137	0.214929257541638	869.333333333333	FALSE	NA	cluster_3	1	CTO::1
CTO	unknown	8h	8	RK-13	EHV-1_8h_2	NC_001491.2	-	1	RK-13_8h	4295	10.1544465680355	4450.33333333333	956.506839146137	0.214929257541638	155.333333333333	FALSE	NA	cluster_3	2	CTO::2
CTO	unknown	8h	8	RK-13	EHV-1_8h_3	NC_001491.2	-	1	RK-13_8h	5475	10.0478927468854	4450.33333333333	956.506839146137	0.214929257541638	1024.66666666667	TRUE	3	cluster_3	3	CTO::3
CTO	unknown	12h	12	RK-13	EHV-1_12h_1	NC_001491.2	-	1	RK-13_12h	15446	10.562204985416	13685.3333333333	1762.00151343106	0.128751084866845	1760.66666666667	FALSE	NA	cluster_3	1	CTO::1
CTO	unknown	12h	12	RK-13	EHV-1_12h_2	NC_001491.2	-	1	RK-13_12h	11922	10.8736350033791	13685.3333333333	1762.00151343106	0.128751084866845	1763.33333333333	TRUE	2	cluster_3	2	CTO::2
