gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
CTO	unknown	cluster_3	0	0	0	49	29	42	142	142	146	1299	1327	1265	3581	4295	5475	15446	11922	13688	11697	9397	8976	7226	6214	5224	10151	9978
NOIR_1	unknown	cluster_5	0	0	0	27	23	27	19	18	30	144	130	132	192	238	328	754	538	646	741	690	617	364	357	298	913	823
NOIR_2	unknown	cluster_5	0	0	0	27	23	27	19	18	30	144	130	132	191	238	328	754	538	645	740	692	617	364	357	298	911	823
ORF1	unknown	cluster_1	0	0	0	57	56	36	124	145	170	329	378	396	354	427	554	930	652	814	736	629	641	409	388	317	654	564
ORF10, ORF11	L	cluster_5	0	0	0	138	158	133	218	234	232	1391	1449	1436	1685	2184	2702	5101	3327	4032	5180	4596	4277	2697	2486	1933	3018	2873
ORF12, ORF13, ORF14	L	cluster_3	0	0	0	46	40	41	283	244	283	2493	2551	2402	2519	3524	4601	8406	5465	6694	12180	11344	10294	7532	6782	5364	7540	6967
ORF17	L	cluster_1	0	0	0	52	33	33	92	79	95	266	224	258	272	326	429	747	455	584	613	528	462	213	196	156	183	189
ORF18	L	cluster_5	1	0	0	87	41	50	303	287	322	2474	2483	2568	3026	3835	5500	6858	4364	5659	3909	3432	3075	1464	1366	1127	1649	1562
ORF18, ORF17, ORF16, ORF15	L	cluster_6	0	0	0	0	0	3	0	2	1	48	48	42	185	238	370	17346	11534	13385	37981	34188	31084	23434	20853	17250	17374	15731
ORF19	L	cluster_7	0	0	0	0	0	0	7	4	14	164	156	169	265	391	521	1494	1002	1236	2873	2540	2369	1779	1684	1318	2777	2714
ORF2	unknown	cluster_2	0	0	0	1	2	0	8	13	17	408	408	393	872	1135	1541	2696	1697	2184	1345	1087	1030	564	503	421	857	868
ORF22	L	cluster_3	0	0	0	21	14	18	96	76	98	781	729	729	857	1204	1853	3681	2251	2871	5058	4319	3915	2510	2139	1934	3389	3109
ORF22, ORF21, ORF20	E	cluster_5	0	1	0	173	157	134	430	416	464	1966	2052	1977	1986	2570	3455	4679	3040	3868	2989	2648	2354	1171	1137	982	1493	1385
ORF23	L	cluster_2	0	0	0	3	1	1	18	21	27	604	647	654	949	1274	1680	3088	1919	2438	3575	3461	3173	1742	1715	1388	1671	1511
ORF24	L	cluster_8	1	0	0	0	4	1	6	7	14	245	247	234	533	672	865	2065	1368	1728	3066	2763	2659	1178	1129	959	1367	1330
ORF27, ORF26, ORF25	L	cluster_9	0	3	1	3	6	7	48	44	45	2440	2536	2626	6282	7956	10053	31360	21943	23565	25376	21443	19500	17079	14508	12541	22843	18761
ORF28, ORF29	L	cluster_3	0	0	0	2	4	1	21	28	33	787	737	772	838	1210	1454	2330	1582	1704	1249	914	826	666	540	436	527	364
ORF3	L	cluster_3	0	0	0	1	2	1	24	32	30	674	697	669	740	1006	1306	1983	1211	1469	1132	965	917	618	551	426	951	872
ORF30	E	cluster_1	0	0	0	134	119	106	324	346	353	356	379	355	165	251	345	819	498	601	1189	1047	944	627	550	470	898	847
ORF31	E	cluster_4	0	0	1	237	213	171	614	758	810	2201	2257	2300	1606	1988	2685	3392	2170	2447	1839	1660	1402	867	710	569	1050	900
ORF32, ORF33, ORF34	E/L	cluster_5	0	0	0	386	305	307	587	642	798	4082	4028	4195	3934	5221	6975	12390	7844	9779	8918	7576	6916	4065	3474	2888	4811	4216
ORF36	L	cluster_2	0	0	0	3	1	0	9	22	10	250	252	241	364	544	798	1602	1033	1253	1331	1178	1060	780	636	535	1082	992
ORF37	L	cluster_3	0	0	0	1	1	0	8	13	14	106	99	106	92	118	177	212	137	153	210	148	149	112	112	83	201	193
ORF37, ORF36, ORF35, ORF35.5	L	cluster_2	0	0	0	1	1	2	21	24	15	877	909	904	2019	2813	3647	8665	5593	6690	11546	10019	9338	7184	6407	5499	6731	5864
ORF38	L	cluster_5	0	0	0	33	23	25	135	159	147	829	807	807	741	947	1244	2127	1328	1631	1826	1614	1554	1007	901	746	1143	1064
ORF39	L	cluster_9	0	1	0	0	0	5	3	8	5	111	126	125	398	529	657	1866	1156	1397	1240	1081	986	741	667	559	1055	1044
