gene	Kinetic_class	cluster	gene_to_centroid_dist	sil_width
CTO	unknown	unclustered	3749.62735442499	0.529172851697727
NOIR_1	unknown	unclustered	36.5938671243026	0.223670633932773
NOIR_2	unknown	unclustered	621.42490785273	-0.14725992937162
ORF1	unknown	unclustered	508.37318679505	-0.0152426171886909
ORF10	L	unclustered	2782.77514452749	0.321301239554533
ORF11	L	unclustered	186.011509492064	-0.0563418131864752
ORF12	L	unclustered	1165.82520345033	0.657677897959356
ORF13	L	unclustered	2290.05128872696	0.709561234165352
ORF14	L	unclustered	429.656054468894	0.327943054647844
ORF15	unknown	unclustered	9261.74459294792	0.294344796673711
ORF16	L	unclustered	912.700336912395	0.732379592758696
ORF17	L	unclustered	832.603394238997	0.370689014244509
ORF18	L	unclustered	967.162714565716	0.695831438337476
ORF19	L	unclustered	772.151947151338	0.471155394878435
ORF2	unknown	unclustered	374.976838604204	0.435134608722306
ORF20	E	unclustered	269.179548795229	0.566807180574518
ORF21	E	unclustered	508.990538831556	0.544643796671814
ORF22	L	unclustered	513.279151659547	0.31357047601919
ORF23	L	unclustered	628.76527674692	0.463191709427371
ORF24	L	unclustered	818.107608421359	0.519539493453896
ORF25	L	unclustered	21768.6663694632	-0.182403946680024
ORF26	L	unclustered	620.382787803342	0.510330631986349
ORF27	L	unclustered	3196.5156506734	0.232088378820658
ORF28	L	unclustered	848.053407968177	0.0884937172047732
ORF29	L	unclustered	1214.00197833556	0.450400974052727
ORF3	L	unclustered	299.305244674401	0.513827689285062
ORF30	E	unclustered	88.3616306876338	0.803808302905029
ORF31	E	unclustered	969.76351842267	0.503024954193704
ORF32	E	unclustered	857.138400834577	0.421823607688321
ORF33	L	unclustered	2250.759273001	-0.278951832045153
ORF34	unknown	unclustered	4950.73676325603	0.441178836293259
ORF35	L	unclustered	3205.13297774055	0.46833295438359
ORF35.5	L	unclustered	1551.54255661906	-0.0554429374113947
ORF36	L	unclustered	458.491742569629	0.399436214551994
ORF37	L	unclustered	496.918032727733	0.00960838417774598
ORF38	L	unclustered	565.743891905811	0.632474391153185
ORF39	L	unclustered	633.094976629184	-0.0947544056868993
ORF4	unknown	unclustered	428.21814680137	0.290072832027838
ORF40	L	unclustered	501.79483751521	0.39976001317333
ORF41	L	unclustered	3146.59795731835	0.603473915226596
ORF42	L	unclustered	3941.67627646928	0.510208577828158
ORF43	L	unclustered	1406.31831454122	0.419708661192268
ORF44	L	unclustered	814.873295382997	0.402130435182983
ORF45	L	unclustered	0	0
ORF46	L	unclustered	270.172540821711	0.45049701493221
ORF48	L	unclustered	3107.99945382878	0.181935446415154
ORF49	L	unclustered	806.295090672534	0.500449404308897
ORF5	E	unclustered	236.785306237528	0.11699110677011
ORF50	L	unclustered	731.710398826252	0.608899140151478
ORF51	E	unclustered	62.97442161527	0.425926690435806
ORF52	L	unclustered	1448.38896882019	0.498677428177978
ORF53	E	unclustered	103.796810055887	0.537319432816227
ORF54	E	unclustered	5465.69333250595	0.5284492509568
ORF55	L	unclustered	507.712055450725	0.138094092268533
ORF56	L	unclustered	830.214637711961	0.393689221861605
ORF57	L	unclustered	3186.8877302158	0.497646191970709
ORF58	L	unclustered	259.726709675422	0.167397117977796
ORF59	L	unclustered	27.1252240134119	0.433644078809579
ORF6	L	unclustered	2268.98761675775	0.623244835434924
ORF60	L	unclustered	606.424525394546	0.535466386070137
ORF61	E	unclustered	416.360967883109	0.564445293745845
ORF62	L	unclustered	1560.91342008454	0.220524468631807
ORF63	E	unclustered	187.68353979801	0.784099918701959
ORF64_1	IE	unclustered	802.786004250222	0.209433071233484
ORF65_1	E	unclustered	874.505449525616	0.562514765634394
ORF66_1	unknown	unclustered	736.767483770679	0.415779987222749
ORF67_1	L	unclustered	2114.99369387754	0.508562973897259
ORF68	L	unclustered	688.425126063112	0.020559239664583
ORF69	E	unclustered	225.553832266269	0.284522472047756
ORF7	E	unclustered	859.877531175247	0.497221146225419
ORF70	L	unclustered	381.371474830065	-0.132716217164152
ORF71	unknown	unclustered	2479.2959091242	0.694978725198941
ORF72	L	unclustered	2672.5482418471	0.638000423406329
ORF73	L	unclustered	539.785040881246	-0.305783631722957
ORF74	L	unclustered	572.043922643276	-0.0577905733045348
ORF75	unknown	unclustered	1033.50098270394	-0.112807585472903
ORF76	L	unclustered	845.249833873699	0.449985053703725
ORF8	L	unclustered	368.834537563625	0.512779666343427
ORF9	L	unclustered	247.091139561903	0.0368933449672051
