gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	1	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	unclustered	1	ORF1::1
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	1	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	unclustered	2	ORF1::2
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	1	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	unclustered	3	ORF1::3
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1	EHV-1_2h_1	RK-13_2h	21	19.6666666666667	3.21455025366432	0.16345170781344	1.33333333333333	FALSE	NA	unclustered	1	ORF1::1
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1	EHV-1_2h_2	RK-13_2h	22	19.6666666666667	3.21455025366432	0.16345170781344	2.33333333333333	FALSE	NA	unclustered	2	ORF1::2
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1	EHV-1_2h_3	RK-13_2h	16	19.6666666666667	3.21455025366432	0.16345170781344	3.66666666666667	TRUE	3	unclustered	3	ORF1::3
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	1	EHV-1_4h_1	RK-13_4h	14	17	4.35889894354067	0.256405820208275	3	FALSE	NA	unclustered	1	ORF1::1
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	1	EHV-1_4h_2	RK-13_4h	15	17	4.35889894354067	0.256405820208275	2	FALSE	NA	unclustered	2	ORF1::2
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	1	EHV-1_4h_3	RK-13_4h	22	17	4.35889894354067	0.256405820208275	5	TRUE	3	unclustered	3	ORF1::3
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	1	EHV-1_6h_1	RK-13_6h	26	29.3333333333333	7.57187779440037	0.258132197536376	3.33333333333333	FALSE	NA	unclustered	1	ORF1::1
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	1	EHV-1_6h_2	RK-13_6h	24	29.3333333333333	7.57187779440037	0.258132197536376	5.33333333333333	FALSE	NA	unclustered	2	ORF1::2
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	1	EHV-1_6h_3	RK-13_6h	38	29.3333333333333	7.57187779440037	0.258132197536376	8.66666666666667	TRUE	3	unclustered	3	ORF1::3
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	1	EHV-1_8h_1	RK-13_8h	66	89	20.0748598998847	0.22556022359421	23	TRUE	1	unclustered	1	ORF1::1
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	1	EHV-1_8h_2	RK-13_8h	103	89	20.0748598998847	0.22556022359421	14	FALSE	NA	unclustered	2	ORF1::2
