cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
cluster_1	0.0164502164502164	0.0489809476788881	0.0287905390417846	0.00605379585189553	0.00802160262002931	0.00384271016051552	0.000749479607352984	0.000860558894188026	0.00142545567719105
cluster_10	0	0.00019782393669634	0.000128650456709121	2.35371651838253e-05	0.000323842365361017	0.000123786821589877	1.3925639119256e-05	3.69856680536292e-05	1.6298901527243e-05
cluster_11	0	0	0	0	0	9.11680911680912e-06	0	0	6.64434167862648e-06
cluster_12	0.189880952380952	0.0221577768476088	0.0149946875779225	0.0117827797382926	0.0115074057424451	0.00591391999559342	0.00139475400308879	0.000763573369722099	0.000981365570997134
cluster_2	0	0.00107305452665981	0.00184717413552919	0.00312542963714196	0.0067123878385803	0.00418862311455999	0.00111539444978772	0.00123714286215529	0.00101977660255969
cluster_3	0	0.0246334630745966	0.0218873172223224	0.00896985844076441	0.0145856766894519	0.00898181625764523	0.00266425041761415	0.00257667369826257	0.00221049002894305
cluster_4	0.0571428571428571	0.00346400748726111	0.000819133413477521	0.000739142690879848	0.00452897155617746	0.00702090726018737	0.00215898593370155	0.00596232461682671	0.00294461130980681
cluster_5	0	0.000268237372516339	0.000345346919139372	7.03660085021564e-05	0.000121418877634376	0.000148930663388398	3.64375646433058e-05	5.73188125401484e-05	7.18399477875984e-05
cluster_6	0.00446428571428571	0.00069734679628324	0.00116546217460328	0.00411369039116325	0.0128827043208265	0.0164803927239329	0.0102465870624012	0.0137474221959163	0.0109397608918854
cluster_7	0	4.21053783542962e-05	2.83736011535074e-05	0.000118421377126086	0.000755077310800154	0.009598438831721	0.0107202380179782	0.0214366944037982	0.0148745713521034
cluster_8	0	0	0.000128650456709121	9.52658953272946e-05	0.000130216688798696	0.000133409473964817	0.000100793868876942	0.00013168014725951	0.000134906539472929
cluster_9	0	0	0.000103167234086454	2.51724311534008e-05	9.20410377415584e-05	7.64720430257463e-05	1.29907727656333e-05	1.91923844618455e-05	1.3288683357253e-05
