gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF1	unknown	cluster_1	0	0.0112113841389815	0.00647474885605644	0.00205976167367639	0.004242389476351	0.00270725870346968	0.00111613795111491	0.000955048620281387	0.00161069034155031
ORF2	unknown	cluster_2	0	0	0.000231817690795576	0.00176490070072637	0.00565898099548004	0.0044109464371024	0.000965716398777882	0.000695002294810192	0.00132872708140125
ORF3	L	cluster_2	0	0.00019782393669634	0.00256522036998738	0.0050345948787282	0.00731911729729638	0.00465467809366646	0.00155245034391774	0.00136280308105377	0.000857306747788494
ORF4	unknown	cluster_1	0	0.00320298674404053	0.00340486689046924	0.00262875365071349	0.00187665437657085	0.000948275687080371	0.000114557728463602	0.00016294455752037	0.000173267480459693
ORF5	E	cluster_1	0	0.0905927504882305	0.0671971018325709	0.010282938568695	0.00735222650227568	0.00387418435983147	0.000529971192177407	0.000504679249050068	0.000516792223209088
ORF6	L	cluster_3	0.0333333333333333	0	0	0.000449003748135915	0.00280147990806946	0.00473549991202036	0.00261985902852539	0.0102375618967222	0.0043516200365282
ORF7	E	cluster_1	0	0.000501268027122679	0.000291172803531809	5.03448623068016e-05	0.000187663363162949	0.00014342970163722	7.78634275480807e-06	9.79096294120527e-06	2.89636795458495e-05
ORF8	L	cluster_4	0	0	0.000592285838300272	0.00287667755122941	0.00427350479610921	0.00363012984483973	0.00167778109599104	0.00235740509452054	0.00189276291022261
ORF9	L	cluster_1	0	0.00428336916445931	0.00615125572615682	0.00499452355751972	0.00591727807862178	0.00224284844754946	0.000509031658565527	0.000339819823351936	0.000421385126876974
ORF10	L	cluster_1	0	0.0119000893731413	0.00431225719117823	0.000649047533000752	0.00197335397495043	0.00181541460407025	0.00113392486921724	0.00288407899007754	0.00398390423989564
ORF11	L	cluster_2	0	0.00100650674137904	0.000857975419209414	0.00459392980411383	0.00988106109399924	0.00703746331725795	0.00239531575350031	0.00247867157207956	0.00323591717713516
ORF12	L	cluster_5	0	0	0.000206334468172908	0.000734283402740217	0.00271434333100155	0.00782161536981139	0.00826272203290185	0.0190767629238272	0.0155452858453139
ORF13	L	cluster_5	0	0.00034954598190951	0	2.35371651838253e-05	0.000780588008650763	0.00347533955535095	0.00208482616072601	0.00923433348427096	0.00654025879559577
ORF14	L	cluster_2	0	0.00112648431190195	0.00130173033832726	0.000922143864670066	0.0061779962746883	0.00348186878175472	0.000855898063988747	0.00143094621991667	0.00111269264122305
ORF15	unknown	cluster_5	0	0	0	0.000143157858679733	0.000964079702254255	0.0598684808378799	0.0827084305798372	0.0993819689024006	0.0425048259482078
ORF16	L	cluster_5	0	0	0	0	0.000123094278612854	0.0120480092896955	0.0077100437242713	0.0289389922284739	0.0159983488901378
ORF17	L	cluster_1	0	0.00251428150988075	0.000626157728413839	0.000231664260358349	0.000387821068031488	0.000350299174957693	0.00011193521119676	0.000107047735399264	8.81388493148414e-05
ORF18	L	cluster_2	0	0.0104533371762491	0.012033401523763	0.00701248423414246	0.0252408848766009	0.0146981357797959	0.00183076489736946	0.00194161953447748	0.00212447234658941
ORF19	L	cluster_2	0	0	0.000703841739877626	0.000890729971245569	0.00139605947968361	0.000764661380768306	0.0001781881049666	0.000210420738950235	0.000231818744890038
ORF20	E	cluster_1	0	0.0271613035780619	0.0190728015284555	0.0102250859038902	0.0156336290397969	0.00854059178553304	0.0020246068968914	0.00199873167434132	0.00220420444673292
ORF21	E	cluster_1	0	0.00761180847551906	0.00570316333595169	0.000745867522460792	0.00433768557138911	0.00318378394424898	0.000301774454464459	0.000649830522978654	0.000493848980003219
ORF22	L	cluster_4	0	0.00239430393935784	0.00494275239067936	0.00331773663732657	0.00869065423970602	0.00875983742413	0.00471769083203871	0.0081069179792908	0.00648325132161164
ORF23	L	cluster_4	0	0.000501268027122679	0.000103167234086454	0.000286615318966672	0.00201942623922174	0.00162159708525533	0.000396732283780716	0.00150909014031899	0.00107458899864399
ORF24	L	cluster_4	0	0	0	0	0.00022073123419669	0.000280759211803156	5.38328237697786e-05	0.000158616968718083	0.000213133530531452
ORF25	L	cluster_4	0.0892857142857143	0.000776938329992443	0.000685512841150073	0.0442337434705052	0.104677263224953	0.159194207162651	0.132886235729082	0.138990932999322	0.120557219734201
ORF26	L	cluster_2	0	0.000229568411386593	0	0.00145735022116514	0.00323510659539527	0.00192829746259518	0.000565511456985642	0.000499605416331714	0.000734698379403227
ORF27	L	cluster_4	0	0	0.000128650456709121	2.35371651838253e-05	4.745510063999e-05	0.000136421517634907	5.73496028673842e-05	0.000167863385731491	9.41592856548214e-05
ORF28	L	cluster_2	0	0	0.000103167234086454	2.51724311534008e-05	9.20410377415584e-05	7.64720430257463e-05	1.29907727656333e-05	1.91923844618455e-05	1.3288683357253e-05
ORF29	L	cluster_2	0	0.000776938329992443	0.00411026019409262	0.0155963176668819	0.0264138796640154	0.0160525741711812	0.00536022468984067	0.00700001061457908	0.00273314685114521
ORF30	E	cluster_1	0	0.0189288127682306	0.0102301436627937	0.000491471882202045	0.000403510803658772	0.000193383205712465	2.94983246288721e-05	4.3927675468709e-05	3.92421447331124e-05
ORF31	E	cluster_1	0	0.0668722791778006	0.0751283836835904	0.00791076763661878	0.0224225623826538	0.014249580230882	0.0013971562308792	0.00395189797512558	0.0018975355358853
ORF32	E	cluster_4	0	0.00019782393669634	0.000128650456709121	2.35371651838253e-05	0.000323842365361017	0.000123786821589877	1.3925639119256e-05	3.69856680536292e-05	1.6298901527243e-05
ORF33	L	cluster_4	0	0.000427392348082933	0.00139806046866857	0.000581406967781221	0.00558724933557028	0.00709514792158023	0.00175888186465762	0.00754472618519718	0.00486301572873595
ORF34	unknown	cluster_1	0	0.0946083697017082	0.0630063717196729	0.0485952429246252	0.0689398599228844	0.0442869822518996	0.0183537977787647	0.0143186254888443	0.0135003269818215
ORF35.5	L	cluster_4	0	0.000381290456599763	0.00160439493684148	0.00786148253246986	0.0256681876080258	0.0276543807665988	0.0194221784176857	0.0347685980579051	0.0162490395206321
ORF35	L	cluster_5	0	0	0	0	0	2.68400101168618e-05	2.17119818740641e-05	0.000120232199794392	9.84173145021043e-05
ORF36	L	cluster_4	0	0.000151722045213169	0.00120850333547746	0.00113858454762601	0.00358015436184679	0.00323051096018865	0.000983810728806034	0.00196658530209271	0.00111269264122305
ORF37	L	cluster_2	0	0.00034954598190951	0.000925719199436548	0.00109885706642009	0.00103351191353244	0.000365817963549093	0.000137957361250886	0.000145977050250753	0.000174515291136986
ORF38	L	cluster_1	0	0.00327686242308028	0.00482685901801472	0.00177574835929899	0.00446710848098986	0.00241867771516603	0.000535053808619653	0.000357176872042118	0.000280715449471767
ORF39	L	cluster_4	0	0	0.000291172803531809	0.00018786046192985	0.0017783052968456	0.00219419788278161	0.000192643842328568	0.000616444114672183	0.000288607601827687
CTO	unknown	cluster_4	0	0.00355159167992078	0.00697817610806049	0.0116277167342561	0.0296966847666057	0.0350622771438076	0.0169616029803389	0.0191251959896319	0.0201475965123364
ORF40	L	cluster_4	0	0	0.000231817690795576	0.00106560132495701	0.00313698274873287	0.00288482923927852	0.00123758424393934	0.0017840121252089	0.00105942859927079
ORF41	L	cluster_5	0	0	0	0	0.000151990480087138	0.000274393970133563	0.000310188251647064	0.000712875110808075	0.000314561063203546
ORF42	L	cluster_4	0	0.00271513508768151	0.0025030793499096	0.00314155331465549	0.0396738369036127	0.0369246556824111	0.00884198791169222	0.0250300905846179	0.014810400794665
ORF43	L	cluster_4	0	0.000823040221475614	0.00168052738455951	0.00299171713416391	0.0123026566344566	0.0154940760889998	0.0070031441296638	0.0125202751990427	0.0115049980367727
ORF44	L	cluster_4	0	0	0	2.35371651838253e-05	0.000288475045695699	0.000330258719612886	9.46748747739239e-05	0.00029734200253929	5.61649515990019e-05
ORF45	L	cluster_6	0	0	0	0	0	9.11680911680912e-06	0	0	6.64434167862648e-06
ORF46	L	cluster_4	0	0.000381290456599763	0.000128650456709121	0.000656831241703233	0.00342989361548438	0.00439974720546391	0.00172486683267116	0.00275527114508468	0.00358245213805455
ORF48	L	cluster_5	0	0	0	2.51724311534008e-05	0.000228789754846471	0.000684008825318566	0.000235315021517099	0.000854398346369405	0.000593404796659374
ORF49	L	cluster_4	0	0.000151722045213169	0.000162522346822688	0.000119920295103113	0.000406115815700842	0.00038239695293373	9.27645375438189e-05	0.000196147182699511	0.000219153966871432
ORF50	L	cluster_1	0	0.00170559870519806	0.00263172980661872	0.000952658953272946	0.00186169743205776	0.00115661999113349	0.000189309145024988	0.000369971795016681	0.000203478970682835
ORF51	E	cluster_2	0	0.00034954598190951	0.00142322647114127	0.00188735506662067	0.00113395836927983	0.000571703340207433	0.000577890922462844	0.000235466038971565	0.000553648055110857
ORF52	L	cluster_5	0	0	0	0.000209762361144099	0.00146075022852691	0.00594613068850632	0.00668685366961192	0.0179879927601549	0.0211057068874583
ORF53	E	cluster_1	0	0.0158140591200227	0.0038075955955784	0.00023627045665987	0.000435724141316536	0.000382320848802627	0.000104290345713118	0.000207416778916877	0.000170881167628349
