gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
ORF1	unknown	cluster_1	0	0	0	0.00955848884842968	0.0130563798219585	0.0110192837465565	0.0068259385665529	0.00578927055191046	0.00680903744970597	0.00183589888433837	0.00181241504304486	0.00253097109364593	0.00421455938697318	0.00466570030802682	0.00384690873405299	0.00261196581196581	0.00265746469934952	0.00285234559909372	0.00104609043217587	0.00130810558280776	0.000994217838361111	0.000978811607554123	0.000887656033287101	0.000998678220002937	0.00154148726944134	0.00167989341365927
ORF2	unknown	cluster_2	0	0	0	0	0	0	0	0.000385951370127364	0.000309501702259362	0.00197712187544132	0.00158586316266425	0.00173171706407353	0.00568326947637293	0.00520927704294256	0.00608439646712463	0.00429401709401709	0.00416468348405521	0.00477413873323488	0.000936797401948539	0.00088764307404812	0.00107270872033699	0.000825272531859358	0.000554785020804438	0.000704949331766779	0.00120927018551002	0.00144818397729248
ORF3	L	cluster_2	0	0	0	0	0.000593471810089021	0	0.00243783520234032	0.00154380548050946	0.00371402042711235	0.00571953113966954	0.00445552031415194	0.00492873318236313	0.00753512132822478	0.00806305490125023	0.00635917566241413	0.00490940170940171	0.00444232904965889	0.00461230352193879	0.00159255558331252	0.00149497780892315	0.00156981763951754	0.00124750499001996	0.00163661581137309	0.00120428844176825	0.000903630468293201	0.000810983027283786
ORF4	unknown	cluster_1	0	0	0	0.00182066454255803	0.0029673590504451	0.00482093663911846	0.00341296928327645	0.00308761096101891	0.00371402042711235	0.00303629430871346	0.00271862256456729	0.00213134407885973	0.00191570881226054	0.00194781663344809	0.00176643768400393	0.00077948717948718	0.000912264001269237	0.0011530758804847	0.000171746190357232	9.34361130576968e-05	7.84908819758771e-05	0.000115154306771073	0.00013869625520111	0.000234983110588926	0.000172752883644289	0.000173782077275097
ORF5	E	cluster_1	0	0	0	0.0810195721438325	0.0902077151335311	0.100550964187328	0.0667966845441248	0.0617522192203782	0.0730424017332095	0.00988560937720661	0.0117051804863314	0.00925802584254696	0.00836526181353768	0.00729298786011959	0.00639842983316977	0.00381538461538462	0.00410518800571157	0.00370198045839824	0.000562078441169123	0.000373744452230787	0.000654090683132309	0.000575771533855366	0.000527045769764216	0.000411220443530621	0.000531547334290119	0.000502037112128058
ORF6	L	cluster_3	0.1	0	0	0	0	0	0	0	0	0.000494280468860331	0.000453103760761214	0.0003996270147862	0.00312899106002554	0.00276318173582171	0.00251226692836114	0.00503247863247863	0.00454148818023164	0.0046325329233508	0.00271671246565076	0.00270964727867321	0.00243321734125219	0.0105750038384769	0.0106796116504854	0.00945807020120429	0.00435868814117897	0.00434455193187743
ORF7	E	cluster_1	0	0	0	0.000910332271279017	0.000593471810089021	0	0.000487567040468064	0.000385951370127364	0	0	0.000151034586920405	0	0.000191570881226054	0.000135894183728936	0.000235525024533857	0.000109401709401709	0.00013882278280184	0.00018206461270811	0	2.33590282644242e-05	0	0	0	2.93728888236158e-05	0	5.7927359091699e-05
ORF8	L	cluster_4	0	0	0	0	0	0	0	0.00115785411038209	0.000619003404518725	0.00338935178647084	0.00264310527110708	0.0025975755961103	0.00504469987228608	0.00443921000181192	0.00333660451422964	0.00376068376068376	0.0035895605267333	0.00354014524710214	0.0017330751936048	0.00149497780892315	0.00180529028544517	0.00216873944418855	0.00252427184466019	0.00237920399471288	0.00208632328708872	0.0016992025333565
ORF9	L	cluster_1	0	0	0	0.00318616294947656	0.00415430267062315	0.00550964187327824	0.00438810336421258	0.00694712466229255	0.00711853915196534	0.0043779127241915	0.00521069324875397	0.00539496469961369	0.00593869731800766	0.00616053632904512	0.00565260058881256	0.00233846153846154	0.00200301443756941	0.00238706936661744	0.00035910567074694	0.000513898621817332	0.000654090683132309	0.000422232458160602	0.000332871012482663	0.000264355999412542	0.000398660500717589	0.000444109753036359
ORF10	L	cluster_1	0	0	0	0.00955848884842968	0.0130563798219585	0.0130853994490358	0.00536323744514871	0.00385951370127364	0.00371402042711235	0.000423668973308855	0.00105724210844283	0.000466231517250566	0.00108556832694764	0.00181192244971915	0.00302257114818449	0.00194188034188034	0.00178486435030938	0.00171949912002104	0.00120222333250062	0.00107451530016351	0.00112503597498757	0.00262935667127284	0.00296809986130375	0.00305478043765604	0.00389358422367512	0.00407422425611616
