sample	ID	seqnames	strand	gene_cluster	gene	Kinetic_class	hpi	Time	cell_line	group	read_count
EHV-1_12h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	88
EHV-1_12h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	61
EHV-1_12h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	65
EHV-1_18h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	34
EHV-1_18h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	26
EHV-1_18h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	13
EHV-1_1h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	28
EHV-1_24h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	24
EHV-1_24h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	20
EHV-1_2h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	10
EHV-1_2h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	8
EHV-1_2h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	13
EHV-1_48h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	82
EHV-1_48h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	46
EHV-1_48h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	21
EHV-1_4h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	2
EHV-1_4h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	4
EHV-1_4h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	4h	4	RK-13	RK-13_4h	9
EHV-1_6h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	27
EHV-1_6h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	26
EHV-1_6h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	6h	6	RK-13	RK-13_6h	23
EHV-1_8h_1	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	26
EHV-1_8h_2	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	40
EHV-1_8h_3	NOIR	NC_001491.2	+	NOIR	NOIR	unknown	8h	8	RK-13	RK-13_8h	40
EHV-1_12h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	88
EHV-1_12h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	61
EHV-1_12h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	12h	12	RK-13	RK-13_12h	66
EHV-1_18h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	34
EHV-1_18h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	25
EHV-1_18h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	18h	18	RK-13	RK-13_18h	13
EHV-1_1h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	28
EHV-1_24h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	24
EHV-1_24h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	24h	24	RK-13	RK-13_24h	20
EHV-1_2h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	10
EHV-1_2h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	8
EHV-1_2h_3	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	2h	2	RK-13	RK-13_2h	13
EHV-1_48h_1	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	82
EHV-1_48h_2	NOIR	NC_001491.2	-	NOIR	NOIR	unknown	48h	48	RK-13	RK-13_48h	46
