Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_512	-	EHV-1_8h_2	Antisense-Long	1	NA	1	12	0.0833333333333333	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	2	0.0833333333333333	0.0833333333333333	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_2	Antisense-Long	1	NA	1	12	0.0833333333333333	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	2	0.0833333333333333	0.0833333333333333	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_512	-	EHV-1_8h_3	Antisense-Long	0	NA	1	17	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	3	0.0833333333333333	0.0833333333333333	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_3	Antisense-Long	0	NA	1	17	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	3	0.0833333333333333	0.0833333333333333	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_1	Antisense-Long	0	NA	1	44	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_1	Antisense-Long	2	NA	1	44	0.0454545454545455	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	1	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_2	Antisense-Long	0	NA	1	22	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_2	Antisense-Long	0	NA	1	22	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	2	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_3	Antisense-Long	0	NA	1	21	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_3	Antisense-Long	0	NA	1	21	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	3	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_1	Antisense-Long	0	NA	1	3	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_1	Antisense-Long	0	NA	1	3	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_2	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_2	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_1	Antisense-Long	0	NA	1	12	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_1	Antisense-Long	0	NA	1	12	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_3	Antisense-Long	0	NA	1	10	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
