Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_2	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_3	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_2	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_1	Antisense-Long	1	NA	1	4	0.25	0.25	0.25	1	1	NA	1	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_2	Antisense-Long	0	NA	1	5	0	0.25	0.25	1	1	NA	2	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_3	Antisense-Long	1	NA	1	2	0.5	0.25	0.25	1	1	NA	3	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_1	Antisense-Long	0	NA	1	10	0	0.0303030303030303	0.0524863881081478	1.73205080756888	1	NA	1	0.0909090909090909	0.0909090909090909	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_2	Antisense-Long	1	NA	1	11	0.0909090909090909	0.0303030303030303	0.0524863881081478	1.73205080756888	1	NA	2	0.0909090909090909	0.0909090909090909	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_3	Antisense-Long	0	NA	1	17	0	0.0303030303030303	0.0524863881081478	1.73205080756888	1	NA	3	0.0909090909090909	0.0909090909090909	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_1	Antisense-Long	2	NA	1	44	0.0454545454545455	0.0151515151515152	0.0262431940540739	1.73205080756888	1	NA	1	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_2	Antisense-Long	0	NA	1	22	0	0.0151515151515152	0.0262431940540739	1.73205080756888	1	NA	2	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_3	Antisense-Long	0	NA	1	21	0	0.0151515151515152	0.0262431940540739	1.73205080756888	1	NA	3	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_1	Antisense-Long	0	NA	1	3	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_2	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_1	Antisense-Long	0	NA	1	12	0	0	0	NA	1	NA	1	0	0	0	0.5
