gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels	norm.method	EndType
ORF11	L	18h	18	RK-13	0.00239531575350031	0.000345051227393052	0.1440525020089	2	2	viral_read.count	TSS
ORF11	L	1h	1	RK-13	0	0		2	2	viral_read.count	TSS
ORF11	L	24h	24	RK-13	0.00247867157207956	0.000363864364337947	0.146798135112621	2	2	viral_read.count	TSS
ORF11	L	2h	2	RK-13	0.00100650674137904	0.000486879608027655	0.48373208843149	2	2	viral_read.count	TSS
ORF11	L	48h	48	RK-13	0.0027490001311692	0.000844653349979117	0.307258388387151	2	2	viral_read.count	TSS
ORF11	L	4h	4	RK-13	0.000857975419209414	0.000340664081823846	0.397055759636742	2	2	viral_read.count	TSS
ORF11	L	6h	6	RK-13	0.00459392980411383	0.000440081366636186	0.0957962758251328	2	2	viral_read.count	TSS
ORF11	L	8h	8	RK-13	0.00988106109399924	0.000443661861498712	0.0449002245080893	2	2	viral_read.count	TSS
ORF12	L	12h	12	RK-13	0.00782161536981139	0.00065248771784473	0.0834210948755033	4	4	viral_read.count	TSS
ORF12	L	18h	18	RK-13	0.00826272203290185	0.000646902538419093	0.0782916980437139	4	4	viral_read.count	TSS
ORF12	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF12	L	24h	24	RK-13	0.0190767629238272	0.00114988741305077	0.0602768623608851	4	4	viral_read.count	TSS
ORF12	L	2h	2	RK-13	0	0		4	4	viral_read.count	TSS
ORF12	L	48h	48	RK-13	0.0153421504896793	0.000393060132383481	0.0256196243576083	4	4	viral_read.count	TSS
ORF12	L	4h	4	RK-13	0.000206334468172908	0.000357381782228181	1.73205080756888	4	4	viral_read.count	TSS
ORF12	L	6h	6	RK-13	0.000734283402740217	8.58609737686737e-05	0.116931655336694	4	4	viral_read.count	TSS
ORF12	L	8h	8	RK-13	0.00271434333100155	0.000534633893374323	0.196966200726365	4	4	viral_read.count	TSS
ORF13	L	12h	12	RK-13	0.00347533955535095	0.000503326958483069	0.144828138507531	4	4	viral_read.count	TSS
ORF13	L	18h	18	RK-13	0.00208482616072601	0.000427258433576421	0.204937198901819	4	4	viral_read.count	TSS
ORF13	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF13	L	24h	24	RK-13	0.00923433348427096	0.000932663720000139	0.100999570958615	4	4	viral_read.count	TSS
ORF13	L	2h	2	RK-13	0.00034954598190951	0.000310513944933309	0.888335043180942	4	4	viral_read.count	TSS
ORF13	L	48h	48	RK-13	0.00829818454847531	0.00305989679359035	0.368742919094583	4	4	viral_read.count	TSS
ORF13	L	4h	4	RK-13	0	0		4	4	viral_read.count	TSS
ORF13	L	6h	6	RK-13	2.35371651838253e-05	4.07675659645266e-05	1.73205080756888	4	4	viral_read.count	TSS
