gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene	norm.method	EndType
ORF1	unknown	48h	48	RK-13	NC_001491.2	+	51789	EHV-1_48h_2	RK-13_48h	0.00167989341365927	0.00161069034155031	9.78679231343797e-05	0.0607614763742736	0.000340845157107517	FALSE		cluster_1	2	ORF1::2	viral_read.count	TSS
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_1	RK-13_1h	0	0	0		0			cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	14	EHV-1_1h_2	RK-13_1h	0	0	0		0			cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	8	EHV-1_1h_3	RK-13_1h	0	0	0		0			cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	2197	EHV-1_2h_1	RK-13_2h	0	0	0		0			cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1685	EHV-1_2h_2	RK-13_2h	0	0	0		0			cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1452	EHV-1_2h_3	RK-13_2h	0	0	0		0			cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2051	EHV-1_4h_1	RK-13_4h	0	0.000231817690795576	0.000204366629501068	0.881583406338411	0.000231817690795576	TRUE	1	cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2591	EHV-1_4h_2	RK-13_4h	0.000385951370127364	0.000231817690795576	0.000204366629501068	0.881583406338411	0.000154133679331789	FALSE		cluster_2	2	ORF2::2	viral_read.count	TSS
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	3231	EHV-1_4h_3	RK-13_4h	0.000309501702259362	0.000231817690795576	0.000204366629501068	0.881583406338411	7.7684011463787e-05	FALSE		cluster_2	3	ORF2::3	viral_read.count	TSS
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	14162	EHV-1_6h_1	RK-13_6h	0.00197712187544132	0.00176490070072637	0.000197728881014189	0.112033997682029	0.000212221174714954	TRUE	1	cluster_2	1	ORF2::1	viral_read.count	TSS
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	13242	EHV-1_6h_2	RK-13_6h	0.00158586316266425	0.00176490070072637	0.000197728881014189	0.112033997682029	0.000179037538062118	FALSE		cluster_2	2	ORF2::2	viral_read.count	TSS
