seqnames	sample	hpi	Time	cell_line	group	total	contig_size	average_coverage
NC_001491.2	EHV-1_12h_1	12h	12	RK-13	RK-13_12h	34263407	150224	228.082110714666
NC_001491.2	EHV-1_12h_2	12h	12	RK-13	RK-13_12h	27485534	150224	182.963667589733
NC_001491.2	EHV-1_12h_3	12h	12	RK-13	RK-13_12h	29392806	150224	195.659854617105
NC_001491.2	EHV-1_18h_1	18h	18	RK-13	RK-13_18h	29082537	150224	193.594478911492
NC_001491.2	EHV-1_18h_2	18h	18	RK-13	RK-13_18h	25697464	150224	171.060975609756
NC_001491.2	EHV-1_18h_3	18h	18	RK-13	RK-13_18h	24428143	150224	162.61145356268
NC_001491.2	EHV-1_1h_1	1h	1	RK-13	RK-13_1h	77651	150224	0.516901427202045
NC_001491.2	EHV-1_1h_2	1h	1	RK-13	RK-13_1h	69498	150224	0.462629140483545
NC_001491.2	EHV-1_1h_3	1h	1	RK-13	RK-13_1h	98497	150224	0.655667536478858
NC_001491.2	EHV-1_24h_1	24h	24	RK-13	RK-13_24h	29478900	150224	196.232958781553
NC_001491.2	EHV-1_24h_2	24h	24	RK-13	RK-13_24h	25998833	150224	173.067106454362
NC_001491.2	EHV-1_24h_3	24h	24	RK-13	RK-13_24h	23926310	150224	159.27088880605
NC_001491.2	EHV-1_2h_1	2h	2	RK-13	RK-13_2h	96620	150224	0.643172861859623
NC_001491.2	EHV-1_2h_2	2h	2	RK-13	RK-13_2h	79612	150224	0.529955266801576
NC_001491.2	EHV-1_2h_3	2h	2	RK-13	RK-13_2h	93362	150224	0.621485248695282
NC_001491.2	EHV-1_48h_1	48h	48	RK-13	RK-13_48h	32965236	150224	219.440542123762
NC_001491.2	EHV-1_48h_2	48h	48	RK-13	RK-13_48h	29504060	150224	196.400442006603
NC_001491.2	EHV-1_48h_3	48h	48	RK-13	RK-13_48h	37014583	150224	246.395935403131
NC_001491.2	EHV-1_4h_1	4h	4	RK-13	RK-13_4h	5008827	150224	33.342388699542
NC_001491.2	EHV-1_4h_2	4h	4	RK-13	RK-13_4h	5546800	150224	36.9235275322186
NC_001491.2	EHV-1_4h_3	4h	4	RK-13	RK-13_4h	5774298	150224	38.4379193737352
NC_001491.2	EHV-1_6h_1	6h	6	RK-13	RK-13_6h	10833979	150224	72.1188292150389
NC_001491.2	EHV-1_6h_2	6h	6	RK-13	RK-13_6h	10836642	150224	72.1365560762595
NC_001491.2	EHV-1_6h_3	6h	6	RK-13	RK-13_6h	10606397	150224	70.6038782085419
NC_001491.2	EHV-1_8h_1	8h	8	RK-13	RK-13_8h	15884416	150224	105.738204281606
NC_001491.2	EHV-1_8h_2	8h	8	RK-13	RK-13_8h	18767467	150224	124.929884705506
NC_001491.2	EHV-1_8h_3	8h	8	RK-13	RK-13_8h	22764965	150224	151.540133400788
