seqnames	group	hpi	Time	cell_line	sum_coverage.hpi	mean_coverage.hpi	sd_coverage.hpi	median_coverage.hpi	min_coverage.hpi	max_coverage.hpi	varcoeff_coverage
NC_001491.2	RK-13_12h	12h	12	RK-13	606.705632921504	202.235210973835	23.2668210316311	195.659854617105	182.963667589733	228.082110714666	0.115048318834258
NC_001491.2	RK-13_18h	18h	18	RK-13	527.266908083928	175.755636027976	16.0161431772162	171.060975609756	162.61145356268	193.594478911492	0.0911273375874377
NC_001491.2	RK-13_1h	1h	1	RK-13	1.63519810416445	0.545066034721483	0.0995534500640428	0.516901427202045	0.462629140483545	0.655667536478858	0.182644750768432
NC_001491.2	RK-13_24h	24h	24	RK-13	528.570954041964	176.190318013988	18.6779145531062	173.067106454362	159.27088880605	196.232958781553	0.106009880472679
NC_001491.2	RK-13_2h	2h	2	RK-13	1.79461337735648	0.598204459118827	0.0600920321686605	0.621485248695282	0.529955266801576	0.643172861859623	0.100454002394395
NC_001491.2	RK-13_48h	48h	48	RK-13	662.236919533497	220.745639844499	25.0232851567509	219.440542123762	196.400442006603	246.395935403131	0.113358004146212
NC_001491.2	RK-13_4h	4h	4	RK-13	108.703835605496	36.2346118684986	2.61668909247927	36.9235275322186	33.342388699542	38.4379193737352	0.0722151820468139
NC_001491.2	RK-13_6h	6h	6	RK-13	214.85926349984	71.6197544999468	0.879819322350339	72.1188292150389	70.6038782085419	72.1365560762595	0.0122845900337594
NC_001491.2	RK-13_8h	8h	8	RK-13	382.208222387901	127.402740795967	23.0008791286929	124.929884705506	105.738204281606	151.540133400788	0.180536768557659
