seqnames	strand	TR_ID	TR_start	TR_end	correct_tss	correct_tes	sample	count
NC_001491.2	+	1	55322	55465	TRUE	TRUE	EHV1_cage_C	60
NC_001491.2	+	2	10080	10221	TRUE	TRUE	EHV1_cage_A	2
NC_001491.2	-	3	12119	12263	TRUE	TRUE	EHV1_cage_C	8
NC_001491.2	+	4	55324	55465	TRUE	TRUE	EHV1_cage_C	1
NC_001491.2	+	5	64488	64631	TRUE	TRUE	EHV1_cage_C	167
NC_001491.2	-	6	32538	32683	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	-	7	125192	125333	TRUE	TRUE	EHV1_cage_C	4
NC_001491.2	+	8	11990	12133	TRUE	TRUE	EHV1_cage_C	24
NC_001491.2	+	9	15234	15375	TRUE	TRUE	EHV1_cage_C	2
NC_001491.2	-	10	66120	66263	TRUE	TRUE	EHV1_cage_C	21
NC_001491.2	+	11	94799	94942	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	-	12	107383	107528	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	13	51422	51567	TRUE	TRUE	EHV1_cage_B	1
NC_001491.2	+	1	55322	55465	TRUE	TRUE	EHV1_cage_B	50
NC_001491.2	+	14	64689	64832	TRUE	TRUE	EHV1_cage_B	1
NC_001491.2	+	15	61312	61455	TRUE	TRUE	EHV1_cage_C	24
NC_001491.2	+	16	15084	15228	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	17	71118	71258	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	-	18	19546	19689	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	19	12468	12611	TRUE	TRUE	EHV1_cage_C	15
NC_001491.2	-	20	48142	48284	TRUE	TRUE	EHV1_cage_C	39
NC_001491.2	-	21	76218	76361	TRUE	TRUE	EHV1_cage_B	4
NC_001491.2	-	22	88868	89011	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	4	55324	55465	TRUE	TRUE	EHV1_cage_B	4
NC_001491.2	-	23	2397	2540	TRUE	TRUE	EHV1_cage_A	9
NC_001491.2	-	24	25626	25769	TRUE	TRUE	EHV1_cage_C	73
NC_001491.2	-	25	124802	124945	TRUE	TRUE	EHV1_cage_C	2
NC_001491.2	+	26	86362	86505	TRUE	TRUE	EHV1_cage_C	14
NC_001491.2	+	27	102278	102419	TRUE	TRUE	EHV1_cage_C	1
NC_001491.2	-	28	106532	106677	TRUE	TRUE	EHV1_cage_C	42
NC_001491.2	+	15	61312	61455	TRUE	TRUE	EHV1_cage_A	23
NC_001491.2	+	29	135564	135707	TRUE	TRUE	EHV1_cage_C	35
NC_001491.2	+	30	16554	16698	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	31	92409	92552	TRUE	TRUE	EHV1_cage_C	4
NC_001491.2	-	24	25626	25769	TRUE	TRUE	EHV1_cage_B	43
NC_001491.2	+	32	96455	96596	TRUE	TRUE	EHV1_cage_C	3
NC_001491.2	-	33	94408	94550	TRUE	TRUE	EHV1_cage_C	21
NC_001491.2	-	34	68911	69052	TRUE	TRUE	EHV1_cage_B	8
NC_001491.2	-	35	4199	4342	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	36	10569	10713	TRUE	TRUE	EHV1_cage_B	1
NC_001491.2	-	37	7119	7264	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	38	89355	89497	TRUE	TRUE	EHV1_cage_A	3
NC_001491.2	-	39	4167	4310	TRUE	TRUE	EHV1_cage_C	3
NC_001491.2	+	40	90712	90852	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	41	119537	119678	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	-	42	125193	125335	TRUE	TRUE	EHV1_cage_A	4
NC_001491.2	-	43	125192	125334	TRUE	TRUE	EHV1_cage_C	1
NC_001491.2	-	44	125192	125335	TRUE	TRUE	EHV1_cage_C	105
NC_001491.2	+	45	55255	55398	TRUE	TRUE	EHV1_cage_C	2
NC_001491.2	+	46	33907	34044	TRUE	TRUE	EHV1_cage_A	1
NC_001491.2	+	47	77591	77735	TRUE	TRUE	EHV1_cage_C	4
NC_001491.2	+	5	64488	64631	TRUE	TRUE	EHV1_cage_B	111
NC_001491.2	+	8	11990	12133	TRUE	TRUE	EHV1_cage_A	18
NC_001491.2	+	48	64687	64831	TRUE	TRUE	EHV1_cage_C	5
NC_001491.2	+	49	77591	77734	TRUE	TRUE	EHV1_cage_A	12
NC_001491.2	+	50	19645	19787	TRUE	TRUE	EHV1_cage_C	1
NC_001491.2	+	51	13528	13666	TRUE	TRUE	EHV1_cage_B	2
NC_001491.2	+	52	69780	69923	TRUE	TRUE	EHV1_cage_A	7
