seqnames	strand	correct_tes	prime3	sample	hpi	Time	cell_line	group	count	endtype	pos	start	end
NC_001491.2	+	TRUE	10221	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	10221	10221	10221
NC_001491.2	-	TRUE	32538	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	32538	32538	32538
NC_001491.2	+	TRUE	94942	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	94942	94942	94942
NC_001491.2	-	TRUE	107383	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	107383	107383	107383
NC_001491.2	+	TRUE	15228	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime3	15228	15228	15228
NC_001491.2	+	TRUE	71258	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	71258	71258	71258
NC_001491.2	-	TRUE	19546	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	19546	19546	19546
NC_001491.2	-	TRUE	88868	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	88868	88868	88868
NC_001491.2	-	TRUE	2397	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime3	2397	2397	2397
NC_001491.2	+	TRUE	61455	EHV1_cage_A			RK-13	EHV1_cage_A	23	prime3	61455	61455	61455
NC_001491.2	+	TRUE	16698	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	16698	16698	16698
NC_001491.2	-	TRUE	4199	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	4199	4199	4199
NC_001491.2	-	TRUE	7119	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	7119	7119	7119
NC_001491.2	+	TRUE	89497	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	89497	89497	89497
NC_001491.2	+	TRUE	90852	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	90852	90852	90852
NC_001491.2	+	TRUE	119678	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	119678	119678	119678
NC_001491.2	-	TRUE	125193	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	125193	125193	125193
NC_001491.2	+	TRUE	34044	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	34044	34044	34044
NC_001491.2	+	TRUE	12133	EHV1_cage_A			RK-13	EHV1_cage_A	24	prime3	12133	12133	12133
NC_001491.2	+	TRUE	77734	EHV1_cage_A			RK-13	EHV1_cage_A	12	prime3	77734	77734	77734
NC_001491.2	+	TRUE	69923	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime3	69923	69923	69923
NC_001491.2	-	TRUE	24134	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	24134	24134	24134
NC_001491.2	+	TRUE	18112	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	18112	18112	18112
NC_001491.2	-	TRUE	106532	EHV1_cage_A			RK-13	EHV1_cage_A	23	prime3	106532	106532	106532
NC_001491.2	-	TRUE	66120	EHV1_cage_A			RK-13	EHV1_cage_A	13	prime3	66120	66120	66120
NC_001491.2	+	TRUE	127776	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime3	127776	127776	127776
NC_001491.2	+	TRUE	64631	EHV1_cage_A			RK-13	EHV1_cage_A	88	prime3	64631	64631	64631
NC_001491.2	+	TRUE	50716	EHV1_cage_A			RK-13	EHV1_cage_A	10	prime3	50716	50716	50716
NC_001491.2	-	TRUE	12120	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	12120	12120	12120
NC_001491.2	-	TRUE	118699	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	118699	118699	118699
NC_001491.2	-	TRUE	105994	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	105994	105994	105994
NC_001491.2	-	TRUE	125192	EHV1_cage_A			RK-13	EHV1_cage_A	66	prime3	125192	125192	125192
NC_001491.2	+	TRUE	71262	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime3	71262	71262	71262
NC_001491.2	+	TRUE	129194	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	129194	129194	129194
NC_001491.2	+	TRUE	59351	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	59351	59351	59351
NC_001491.2	+	TRUE	12126	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	12126	12126	12126
NC_001491.2	+	TRUE	18124	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	18124	18124	18124
NC_001491.2	-	TRUE	4947	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	4947	4947	4947
NC_001491.2	-	TRUE	12119	EHV1_cage_A			RK-13	EHV1_cage_A	17	prime3	12119	12119	12119
NC_001491.2	+	TRUE	66458	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	66458	66458	66458
NC_001491.2	-	TRUE	94408	EHV1_cage_A			RK-13	EHV1_cage_A	12	prime3	94408	94408	94408
NC_001491.2	+	TRUE	55465	EHV1_cage_A			RK-13	EHV1_cage_A	39	prime3	55465	55465	55465
NC_001491.2	+	TRUE	14507	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	14507	14507	14507
NC_001491.2	+	TRUE	18128	EHV1_cage_A			RK-13	EHV1_cage_A	22	prime3	18128	18128	18128
NC_001491.2	+	TRUE	12902	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	12902	12902	12902
NC_001491.2	-	TRUE	25628	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	25628	25628	25628
NC_001491.2	-	TRUE	25626	EHV1_cage_A			RK-13	EHV1_cage_A	33	prime3	25626	25626	25626
NC_001491.2	-	TRUE	48142	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime3	48142	48142	48142
NC_001491.2	+	TRUE	135707	EHV1_cage_A			RK-13	EHV1_cage_A	47	prime3	135707	135707	135707
NC_001491.2	+	TRUE	61453	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime3	61453	61453	61453
NC_001491.2	+	TRUE	7253	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	7253	7253	7253
NC_001491.2	+	TRUE	126482	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime3	126482	126482	126482
NC_001491.2	+	TRUE	15225	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime3	15225	15225	15225
NC_001491.2	-	TRUE	47231	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime3	47231	47231	47231
NC_001491.2	+	TRUE	127779	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime3	127779	127779	127779
NC_001491.2	-	TRUE	111890	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime3	111890	111890	111890
NC_001491.2	+	TRUE	86508	EHV1_cage_A			RK-13	EHV1_cage_A	33	prime3	86508	86508	86508
NC_001491.2	-	TRUE	74040	EHV1_cage_A			RK-13	EHV1_cage_A	18	prime3	74040	74040	74040
NC_001491.2	-	TRUE	117529	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	117529	117529	117529
NC_001491.2	-	TRUE	108590	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	108590	108590	108590
NC_001491.2	+	TRUE	133023	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	133023	133023	133023
NC_001491.2	+	TRUE	82043	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	82043	82043	82043
NC_001491.2	-	TRUE	6946	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	6946	6946	6946
NC_001491.2	+	TRUE	86505	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime3	86505	86505	86505
NC_001491.2	+	TRUE	121360	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime3	121360	121360	121360
NC_001491.2	+	TRUE	82046	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	82046	82046	82046
NC_001491.2	+	TRUE	17839	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	17839	17839	17839
NC_001491.2	+	TRUE	121363	EHV1_cage_A			RK-13	EHV1_cage_A	27	prime3	121363	121363	121363
NC_001491.2	+	TRUE	121367	EHV1_cage_A			RK-13	EHV1_cage_A	122	prime3	121367	121367	121367
NC_001491.2	+	TRUE	137967	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	137967	137967	137967
NC_001491.2	+	TRUE	19804	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime3	19804	19804	19804
NC_001491.2	+	TRUE	84962	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	84962	84962	84962
NC_001491.2	+	TRUE	134490	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime3	134490	134490	134490
NC_001491.2	+	TRUE	64630	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime3	64630	64630	64630
NC_001491.2	+	TRUE	132820	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime3	132820	132820	132820
