seqnames	group	hpi	Time	cell_line	sum_coverage.hpi	mean_coverage.hpi	sd_coverage.hpi	median_coverage.hpi	min_coverage.hpi	max_coverage.hpi	varcoeff_coverage
NC_001491.2	EHV1_cage_A			RK-13	13.8313052508254	4.61043508360848	3.02500548989474	5.73865693897114	1.18345936734477	6.90918894450953	0.656121479868477
NC_001491.2	EHV1_cage_B			RK-13	17.9322012461391	5.9774004153797	3.81583342424582	7.45824901480456	1.64310629460006	8.83084593673448	0.638376745587894
NC_001491.2	EHV1_cage_C			RK-13	18.7974691127916	6.26582303759719	3.78074155751967	7.78971402705293	1.96095164554266	9.04680344019597	0.60339105251359
