gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
ORF1	unknown	cluster_1	0	0	0	0.0101419878296146	0.0137885751805647	0.0113550340651022	0.00652173913043478	0.00572183098591549	0.00732217573221757	0.00200030773965225	0.00163585800752495	0.00246841875998258	0.00440011733646231	0.00496900773525946	0.0041192800214919	0.00271303489949439	0.00273224043715847	0.00286759393063584	0.00113586398944746	0.00135931128228364	0.000985928116877297	0.00103767200541394	0.000996528224250996	0.00103466114847387	0.00166088849471902	0.00183104071776796
ORF2	unknown	cluster_2	0	0	0	0	0	0	0	0.000440140845070423	0.000348675034867504	0.00192337282658871	0.00147227220677245	0.00159721213881226	0.00586682311528307	0.00512268838686543	0.00644756872929166	0.00448575656677765	0.00435803639976516	0.00496748554913295	0.000989300894034882	0.000932860683920147	0.00119506438409369	0.000857207308820212	0.000578629291500579	0.000793240213829971	0.00140288639845199	0.00148772058318647
ORF3	L	cluster_2	0	0	0	0	0.000656598818122127	0	0.0016304347826087	0.00176056338028169	0.00418410041841004	0.00592398830589321	0.00458040242106985	0.00522723972702193	0.00836022293927838	0.00855488960606526	0.0068953165577147	0.00534899494388951	0.00478706588989749	0.00476427023121387	0.00181371830573062	0.00149257709427224	0.00179259657614054	0.00135348522445297	0.00186447216150186	0.00127608208311778	0.00101588325405144	0.000869744340939782
ORF4	unknown	cluster_1	0	0	0	0.00202839756592292	0.00328299409061064	0.00454201362604088	0.00380434782608696	0.00352112676056338	0.00418410041841004	0.00307739652254193	0.00220840831015868	0.00210541600116161	0.00198005280140804	0.00215152912248348	0.00183576609653443	0.000816993464052288	0.000925800478706589	0.00117413294797688	0.000183203869265719	0.000106612649590874	8.9629828807027e-05	0.000112790435371081	0.000160730358750161	0.000275909639593033	0.000193501572200274	0.000183104071776796
ORF5	E	cluster_3	0	0	0	0.0796146044624747	0.0952068286277085	0.101438304314913	0.0679347826086957	0.065580985915493	0.0718270571827057	0.0100784736113248	0.0114510060526746	0.00958327283287353	0.00909357582868877	0.00763280569642949	0.00662666786066088	0.00400789246516217	0.00440319739872646	0.00395140895953757	0.000622893155503444	0.000426450598363496	0.000627408801649189	0.00051883600270697	0.000546483219750547	0.000448353164338679	0.000580504716600822	0.000549312215330389
ORF6	L	cluster_4	0.142857142857143	0	0	0	0	0	0	0	0	0.000461609478381289	0.000327171601504989	0.000363002758820967	0.00293341155764154	0.00276625172890733	0.00228351392495746	0.00504069552349242	0.00440319739872646	0.0045610549132948	0.00229004836582149	0.00242543777819238	0.00230049893938036	0.0106023009248816	0.0110582486820111	0.00951888256595965	0.00422478432637265	0.00409695360600581
ORF7	E	cluster_3	0	0	0	0.00101419878296146	0.000656598818122127	0	0.000543478260869565	0.000440140845070423	0	0	0	0	0.000220005866823115	0.000153680651605963	0.000179099131369213	9.24898261191269e-05	0.000135482996883891	0.000158056358381503	0	0	0	0	0	3.44887049491292e-05	0	4.5776017944199e-05
ORF8	L	cluster_2	0	0	0	0	0	0	0	0.000880281690140845	0.000697350069735007	0.00361594091398677	0.00269916571241616	0.00283142151880354	0.00535347609269581	0.00476410019978485	0.00371630697591117	0.00399247749414231	0.00370320191482636	0.00379335260115607	0.00196028140114319	0.00159918974386311	0.00200173284335694	0.00250394766523799	0.0027967082422528	0.00251767546128643	0.00240264452148674	0.00192259275365636
ORF9	L	cluster_1	0	0	0	0.00304259634888438	0.00328299409061064	0.00529901589704769	0.00434782608695652	0.00660211267605634	0.00662482566248257	0.00461609478381289	0.00523474562407983	0.00580804414113547	0.0066735112936345	0.00635213359971313	0.00608937046655324	0.0025743001603157	0.00203224495325837	0.00255148121387283	0.00038472812545801	0.00053306324795437	0.000687162020853874	0.000451161741484322	0.000353606789250354	0.000310398344542163	0.000451503668467306	0.00048064818841409
ORF10	L	cluster_3	0	0	0	0.00862068965517241	0.00919238345370978	0.012112036336109	0.00543478260869565	0.00264084507042254	0.00348675034867504	0.000307739652254193	0.000572550302633731	0.000363002758820967	0.0009533587562335	0.00133189898058501	0.00246261305632668	0.00161857195708472	0.00135482996883891	0.00135476878612717	0.000824417411695735	0.000852901196726992	0.000866421678467927	0.0018272050530115	0.00221807895075222	0.00217278841179514	0.00304764976215432	0.00311276922020553
