gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels
ORF8	L	4h	4	RK-13	0.000592285838300272	0.000579389252998927	0.978225740905176	2	2
ORF8	L	6h	6	RK-13	0.00287667755122941	0.000444572144242774	0.154543613709078	2	2
ORF8	L	8h	8	RK-13	0.00427350479610921	0.000866020265034962	0.202648717236359	2	2
ORF9	L	12h	12	RK-13	0.00224284844754946	0.000209119450307336	0.0932383329492548	1	1
ORF9	L	18h	18	RK-13	0.000509031658565527	0.000147552718990434	0.289869434459624	1	1
ORF9	L	1h	1	RK-13	0	0		1	1
ORF9	L	24h	24	RK-13	0.000339819823351936	7.91672819798662e-05	0.232968404253086	1	1
ORF9	L	2h	2	RK-13	0.00428336916445931	0.00116710419295409	0.272473407764613	1	1
ORF9	L	48h	48	RK-13	0.000423752869350868	2.30917138244838e-05	0.0544933509473509	1	1
ORF9	L	4h	4	RK-13	0.00615125572615682	0.00152933822955866	0.248622118416488	1	1
ORF9	L	6h	6	RK-13	0.00499452355751972	0.000541890839315244	0.10849700338271	1	1
ORF9	L	8h	8	RK-13	0.00591727807862178	0.000254644393052942	0.0430340419479241	1	1
