cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
cluster_1	0.00626452131240093	0.0217631362381328	0.00994692332049284	0.00412448022619396	0.00610581300226684	0.00391898786561577	0.000822931451911853	0.000866552381635518	0.00101218239023409
cluster_10	0	0	2.53138922640745e-05	2.68791192250212e-06	1.59546217022877e-05	3.09802022209031e-05	4.82721027174051e-06	2.10373994371306e-05	1.08227502974677e-05
cluster_11	0	5.66893424036281e-05	5.10564546183286e-05	4.02881761756065e-05	5.66961739850422e-05	6.08131659595308e-05	1.40799525316699e-05	4.57256352932219e-05	4.71986999172948e-05
cluster_12	0.0313768918420081	0.00351612976411864	0.000651778800416241	0.000413833643725075	0.00272026371986168	0.0045803464970203	0.000646765798728398	0.000857234644948772	0.000863687339607429
cluster_2	0	0.000167721110346746	0.000260480534399613	0.000914285670288485	0.00204314442318439	0.00162101528311251	0.000358879451046362	0.000507435595885914	0.000475354528279307
cluster_3	0.00980392156862745	0.00290716591267694	0.00242145537293276	0.00186907007064837	0.00180495672084755	0.000926417106483871	0.000142740390146318	0.000112761792592641	0.000181507923341874
cluster_4	0.000968992248062015	0.01422610873571	0.00431948119228653	0.000635168746303802	0.000651006109656454	0.000414193837269051	7.81242192033788e-05	0.000143771184449241	0.000171825213404586
cluster_5	0.0138499844382197	0.00171813322088873	0.00116189557704577	0.000811691980726912	0.00312925237188959	0.00244209009818397	0.000388418023877691	0.00128058722685308	0.000720286707376782
cluster_6	0	0.00170377163406076	0.00186430216199016	0.00233910211475638	0.00182767323090289	0.000992329827269763	0.000417015064161655	0.000326787049481841	0.000567528787354696
cluster_7	0	5.10573987276496e-06	9.29480610599074e-06	2.06440822582043e-05	0.000146311307108474	0.00293122395201441	0.00218633106244417	0.00567457519342427	0.00417406257912974
cluster_8	0.00206623347013224	0.000536863948800986	0.000709676721708734	0.002348741180857	0.00711240629595731	0.0106779758206724	0.00559926990848593	0.00770429721227124	0.00743512425448457
cluster_9	0	2.50758544597407e-05	2.55996723241943e-05	2.33358487405048e-05	7.31378692258703e-05	9.31959889174476e-05	5.94407762709605e-06	1.02145187632541e-05	1.50913555206442e-06
