Kinetic_class	best_label	labels	N
unknown	4	4	3
unknown	1	1	5
L	1	1	7
L	2	2	15
L	4	4	29
unknown	2	2	2
E	1	1	12
E	2	2	1
E	4	4	1
L	3	3	2
IE	5	5	1
unknown	5	5	1
