gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	44288	EHV-1_12h_3	RK-13_12h	0.00286759393063584	0.00277095642242957	8.42396531538422e-05	0.0304009303329214	9.66375082062723e-05	TRUE	3	cluster_1
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	54584	EHV-1_18h_1	RK-13_18h	0.00113586398944746	0.0011603677962028	0.000187893785052468	0.161926059709115	2.45038067553419e-05	FALSE	NA	cluster_1
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	37519	EHV-1_18h_2	RK-13_18h	0.00135931128228364	0.0011603677962028	0.000187893785052468	0.161926059709115	0.000198943486080844	TRUE	2	cluster_1
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	33471	EHV-1_18h_3	RK-13_18h	0.000985928116877297	0.0011603677962028	0.000187893785052468	0.161926059709115	0.000174439679325502	FALSE	NA	cluster_1
ORF1	unknown	24h	24	RK-13	NC_001491.2	+	44330	EHV-1_24h_1	RK-13_24h	0.00103767200541394	0.00102295379271294	2.29346749765705e-05	0.0224200498008286	1.47182127010034e-05	FALSE	NA	cluster_1
ORF1	unknown	24h	24	RK-13	NC_001491.2	+	31108	EHV-1_24h_2	RK-13_24h	0.000996528224250996	0.00102295379271294	2.29346749765705e-05	0.0224200498008286	2.6425568461941e-05	TRUE	2	cluster_1
ORF1	unknown	24h	24	RK-13	NC_001491.2	+	28995	EHV-1_24h_3	RK-13_24h	0.00103466114847387	0.00102295379271294	2.29346749765705e-05	0.0224200498008286	1.17073557609373e-05	FALSE	NA	cluster_1
ORF1	unknown	48h	48	RK-13	NC_001491.2	+	62015	EHV-1_48h_1	RK-13_48h	0.00166088849471902	0.00174596460624349	0.000120315790751873	0.0689107845151207	0.000191684146327943	FALSE	NA	cluster_1
ORF1	unknown	48h	48	RK-13	NC_001491.2	+	43691	EHV-1_48h_2	RK-13_48h	0.00183104071776796	0.00174596460624349	0.000120315790751873	0.0689107845151207	0.000361836369376884	FALSE	NA	cluster_1
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_2
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_2
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_2
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0	0	0		0		NA	cluster_2
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0	0	0		0		NA	cluster_2
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0	0	0		0		NA	cluster_2
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0	0.000262938626645975	0.00023225856205073	0.883318533352829	0.000262938626645975	TRUE	1	cluster_2
