gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
CTO	unknown	cluster_2	0	0	0	10	1	8	16	22	15	155	160	178	469	673	730	2435	1800	1789	1206	642	652	1001	642	693	1463	1080
NOIR_1	unknown	cluster_5	0	0	0	1	0	0	1	1	0	3	0	2	1	1	0	5	5	4	4	4	3	4	3	2	7	7
NOIR_2	unknown	cluster_1	0	0	0	15	11	13	2	7	12	32	38	39	35	62	50	114	84	91	54	37	20	39	32	24	109	70
ORF1	unknown	cluster_1	0	0	0	21	22	16	14	15	22	26	24	38	66	103	98	191	134	141	67	56	38	51	32	34	116	87
ORF10	L	cluster_1	0	0	0	21	22	19	11	10	12	6	14	7	17	40	77	142	90	85	77	46	43	137	107	104	293	211
ORF11	L	cluster_2	0	0	0	1	2	2	1	3	3	58	63	74	147	221	261	554	349	327	129	115	95	151	81	78	240	170
ORF12	L	cluster_4	0	0	0	0	0	0	0	0	2	10	11	10	52	51	64	625	385	360	483	362	336	1047	696	607	1183	796
ORF13	L	cluster_4	0	0	0	1	1	0	0	0	0	1	0	0	17	13	17	284	183	144	163	86	65	515	348	278	515	323
ORF14	L	cluster_2	0	0	0	2	3	1	5	3	1	11	14	14	100	133	156	270	161	176	62	36	29	89	54	37	89	54
ORF15	unknown	cluster_4	0	0	0	0	0	0	0	0	0	3	2	1	19	18	22	4363	3052	2937	5092	3667	3171	5011	3611	3466	3183	2212
ORF16	L	cluster_4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	975	580	559	457	342	306	1506	1067	964	1257	792
ORF17	L	cluster_6	0	0	0	4	5	4	1	2	2	5	1	4	2	9	16	24	14	22	9	5	3	5	6	2	6	5
ORF18	L	cluster_1	0	0	0	34	14	11	26	23	47	91	100	106	335	585	709	1067	691	781	131	77	63	98	67	71	157	112
ORF19	L	cluster_7	0	0	0	0	0	0	1	1	4	13	10	15	20	40	28	68	29	39	10	5	10	9	7	9	16	13
ORF2	unknown	cluster_2	0	0	0	0	0	0	0	1	1	28	21	26	89	115	155	314	210	236	60	38	41	43	20	24	91	75
ORF20	E	cluster_1	0	0	0	52	51	40	37	55	58	140	143	150	236	324	437	608	430	434	147	80	73	98	70	74	169	112
ORF21	E	cluster_1	0	0	0	22	10	10	11	16	18	12	14	5	57	109	113	250	145	161	21	18	6	39	20	22	38	25
ORF22	L	cluster_2	0	0	0	3	4	5	6	14	21	48	34	60	129	197	227	661	446	415	300	206	178	426	276	289	473	346
ORF23	L	cluster_4	0	0	0	2	1	0	0	0	1	4	5	3	29	40	61	117	82	81	18	21	16	82	62	42	76	59
ORF24	L	cluster_8	0	0	0	0	0	0	0	0	0	0	0	0	2	4	9	22	12	15	4	2	2	10	6	4	19	9
ORF25	L	cluster_2	0	2	1	1	2	1	2	2	1	590	582	707	1845	2355	2281	11009	8488	7845	8124	5811	5201	7106	5039	4794	9381	6031
ORF26	L	cluster_2	0	0	0	0	0	1	0	0	0	26	23	12	41	62	109	152	91	94	39	32	13	23	18	19	51	41
ORF27	L	cluster_8	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	8	9	6	3	2	3	10	7	4	4	7
ORF28	L	cluster_5	0	0	0	0	0	0	0	0	1	0	1	0	3	1	1	5	2	6	1	1	0	3	0	0	2	0
ORF29	L	cluster_2	0	0	0	1	2	1	5	12	17	236	189	238	432	623	597	1183	821	776	345	217	215	359	245	249	221	131
ORF3	L	cluster_2	0	0	0	0	1	0	5	4	12	81	59	74	118	178	162	359	224	228	102	64	60	65	59	41	68	42
ORF30	E	cluster_6	0	0	0	45	31	26	23	24	33	10	4	7	6	7	13	16	7	11	1	2	1	1	3	1	3	2
ORF31	E	cluster_1	0	0	0	149	117	92	138	226	229	112	94	131	383	478	539	1150	723	627	104	64	41	216	135	135	149	94
ORF32	E	cluster_5	0	0	0	0	1	0	0	1	0	1	0	0	5	4	12	11	4	7	1	0	1	0	4	0	1	1
ORF33	L	cluster_2	0	0	0	0	1	1	1	8	2	3	15	6	94	111	146	567	310	365	113	91	53	399	272	253	373	247
ORF34	unknown	cluster_1	0	0	0	204	157	142	135	150	211	706	593	768	1056	1493	1828	3322	2136	2228	1127	812	707	740	505	502	1006	706
ORF35	L	cluster_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	4	6	4	9	4
ORF35.5	L	cluster_2	0	0	0	1	0	1	1	8	4	106	110	117	400	539	689	2041	1405	1344	1209	844	752	1734	1293	1197	1209	851
ORF36	L	cluster_2	0	0	0	1	0	0	3	4	2	19	16	13	53	87	87	230	173	154	70	37	38	111	66	66	89	54
