cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
cluster_1	0.192982456140351	65.0877192982456	69.6315789473684	129.859649122807	301.719298245614	475.684210526316	97.3684210526316	79.6491228070176	135.315789473684
cluster_2	0.0404040404040404	0.848484848484848	2.57575757575758	48.8989898989899	207.858585858586	864.777777777778	523.484848484849	709.40404040404	821.484848484849
cluster_3	0	0.166666666666667	0.333333333333333	0.857142857142857	3.61904761904762	9.5	2.38095238095238	4.54761904761905	6.46428571428571
cluster_4	0	22.4444444444444	12.7777777777778	4.55555555555556	9	18.1111111111111	3.88888888888889	4.66666666666667	6.5
cluster_5	0	0.4	2.26666666666667	17.4666666666667	27.4	36.7333333333333	11.5333333333333	7.13333333333333	13.3
cluster_6	0	0	0	0.166666666666667	4.33333333333333	29	13	31.6666666666667	28.5
cluster_7	3	9.33333333333333	5	3	26.6666666666667	33.3333333333333	2.66666666666667	1.66666666666667	7
unclustered	0	76.3333333333333	49.5	24.5	52.1666666666667	108	13.1666666666667	19.3333333333333	22.25
