gene	Kinetic_class	cluster	gene_to_centroid_dist	sil_width
CTO	unknown	cluster_2	17.5612419354724	0.166608012869195
NOIR_1	unknown	cluster_3	2.47019397655477	0.680249365716592
NOIR_2	unknown	cluster_1	8.30669320045233	0.640826518600254
ORF1	unknown	cluster_1	4.34924212818312	0.743269286853385
ORF10	L	cluster_1	10.975904014951	0.356267661401063
ORF11	L	cluster_2	7.51558758509784	0.482721415309666
ORF12	L	cluster_2	6.83753206840546	0.766887158973066
ORF13	L	cluster_2	9.80763034719154	0.307448974028085
ORF14	L	cluster_2	8.55055284205977	0.425007014748232
ORF15	unknown	cluster_2	16.2294441279457	0.601765258389646
ORF16	L	cluster_2	13.2316689653456	0.266974747772135
ORF17	L	cluster_4	7.0098202915417	0.628163129559253
ORF18	L	cluster_1	8.2966155730873	0.670406097381893
ORF19	L	cluster_5	2.35102486674801	0.530655970051765
ORF2	unknown	cluster_2	9.29465058962588	0.608640125319771
ORF20	E	cluster_1	7.78797673423342	0.771285798687976
ORF21	E	cluster_1	8.40617058668893	0.73365506789183
ORF22	L	cluster_2	10.5321258931355	0.19673978356968
ORF23	L	cluster_2	11.6311442832813	0.613418926338465
ORF24	L	cluster_3	2.35329908690642	0.445525059447941
ORF25	L	cluster_2	24.9918565890649	0.561542271097077
ORF26	L	cluster_2	12.6420346330621	0.472245228026411
ORF27	L	cluster_3	2.02246042844762	0.622310565001274
ORF28	L	cluster_3	2.87064749506083	0.755223537574868
ORF29	L	cluster_2	13.6876153024325	0.201433088464533
ORF3	L	cluster_2	10.5863484159472	0.183597658143314
ORF30	E	cluster_4	5.48190081972886	0.655572380646618
ORF31	E	cluster_1	11.3446397507987	0.795290767534151
ORF32	E	cluster_3	2.94320921203123	0.726485285905536
ORF33	L	cluster_2	5.26940161997499	0.719382798550353
ORF34	unknown	cluster_1	21.1047300141282	0.661251987784705
ORF35	L	cluster_3	2.27576400515967	0.701704986618201
ORF35.5	L	cluster_2	14.001559021754	0.658947090039089
ORF36	L	cluster_2	7.12356718602743	0.656363093728991
ORF37	L	cluster_5	2.59000976026748	0.598568231893439
ORF38	L	cluster_1	8.6284195373676	0.752249452728314
ORF39	L	cluster_2	15.6598634413297	0.409773716479553
ORF4	unknown	cluster_1	13.371160368089	0.48174814066604
ORF40	L	cluster_2	7.00597097439976	0.777044306974165
ORF41	L	cluster_6	1.62470506771594	0.855754291372469
ORF42	L	cluster_2	14.0088932816455	0.471419943760231
ORF43	L	cluster_2	8.92842244219035	0.64931402510038
ORF44	L	cluster_3	3.24022178474111	0.109624549681841
ORF45	L	cluster_3	3.44545721007018	0.776432824918635
ORF46	L	cluster_2	4.24076632778209	0.803726756792609
ORF48	L	cluster_6	1.62470506771594	0.827036665729237
ORF49	L	cluster_3	3.61508477402675	0.15568946199871
ORF5	E	cluster_1	9.12828079449922	0.697730877988508
ORF50	L	cluster_1	14.1254856872239	0.649151414473723
ORF51	E	cluster_5	5.64812646849613	0.111896152678664
ORF52	L	cluster_2	8.8551408235064	0.58885143147145
ORF53	E	cluster_4	3.04005712684385	0.6275589079526
ORF54	E	cluster_2	12.8850657587148	0.553381585160902
ORF55	L	cluster_5	4.85826836013959	0.52417738517767
ORF56	L	cluster_3	2.54506480036928	0.705828973209182
ORF57	L	cluster_3	3.17552311289752	0.249849442097853
ORF58	L	cluster_2	4.47542115695574	0.782396902680598
ORF59	L	cluster_3	3.07661649577031	0.44592756165026
ORF6	L	cluster_2	7.67084825178308	0.684186486215613
ORF60	L	cluster_2	10.0964512445475	0.635409881433327
ORF61	E	cluster_1	3.07372678489686	0.816386130024226
ORF62	L	cluster_2	4.88356808513136	0.816841577388719
ORF63	E	unclustered	12.4756086117475	-0.00168262746254198
ORF64_1	IE	cluster_7	0	0
ORF65_1	E	cluster_1	13.9246498747637	0.709301022137568
ORF66_1	unknown	cluster_5	4.9669919328647	0.371678481491844
ORF67_1	L	cluster_1	16.5041731524071	0.69942595389669
ORF68	L	cluster_2	16.3996313505712	0.0372314988372211
ORF69	E	cluster_1	10.5081214576933	0.504584748480023
ORF7	E	cluster_3	3.58482619229068	0.685218585781949
ORF70	L	cluster_1	12.7487204307299	0.143619232930438
ORF71	unknown	cluster_2	10.7555408036865	0.0794654496040051
ORF72	L	cluster_2	10.5967219996494	0.05328693332586
ORF73	L	cluster_2	8.66817344691705	0.739209604671592
ORF74	L	unclustered	15.8207011616134	-0.415804628211689
ORF75	unknown	cluster_1	12.8142434705633	0.716687908496886
ORF76	L	cluster_3	3.62204102628001	0.576811087491151
ORF8	L	cluster_2	6.33591025027531	0.675950328024649
ORF9	L	cluster_1	7.3023526475492	0.730860908141574
